REGIAO:;SE
UF:;MG
ESTACAO:;ARAXA
CODIGO (WMO):;A505
LATITUDE:;-19,60583333
LONGITUDE:;-46,94972221
ALTITUDE:;1018,32
DATA DE FUNDACAO:;19/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;,4;900,8;900,8;900,1;;21,5;19,8;22,8;21,5;20,7;19,3;90;84;90;84;6,1;2;
2024/01/01;0100 UTC;5,2;901,3;901,3;900,8;;20,5;19,3;21,5;20,5;19,9;19,3;93;90;93;259;3,9;2;
2024/01/01;0200 UTC;3;901,3;901,3;901,2;;20,7;19,4;20,7;20,4;19,5;19,3;93;93;93;266;4,1;2,2;
2024/01/01;0300 UTC;1,6;901,1;901,4;901,1;;20,6;19;20,8;20,6;19,4;19;93;91;91;73;3,9;1,7;
2024/01/01;0400 UTC;0;900,8;901,1;900,8;;20,3;18,5;20,7;20,3;19;18,4;91;87;90;134;4,2;2,3;
2024/01/01;0500 UTC;0;900,5;900,9;900,5;;20,1;18,6;20,3;20,1;18,7;18,5;91;90;91;11;4,2;,9;
2024/01/01;0600 UTC;0;900;900,5;900;;20,1;18,7;20,2;20,1;18,7;18,6;92;91;92;88;2,5;,9;
2024/01/01;0700 UTC;0;899,9;900;899,8;;20,2;18,8;20,3;20,1;18,9;18,7;92;91;91;104;3,5;2;
2024/01/01;0800 UTC;0;900;900;899,8;;20,2;18,8;20,2;20,1;18,8;18,7;92;91;92;257;4;2,2;
2024/01/01;0900 UTC;0;900,4;900,4;899,9;4,8;20,2;18,8;20,2;20,2;18,9;18,8;92;92;92;130;4;2;
2024/01/01;1000 UTC;0;900,7;900,7;900,4;234,7;20,8;19,1;20,8;20,2;19,1;18,8;92;90;90;144;5,1;2,5;
2024/01/01;1100 UTC;,2;900,8;900,9;900,7;993,6;22;18,8;22,1;20,8;19,5;18,6;90;82;82;183;6,5;3,7;
2024/01/01;1200 UTC;0;901,5;901,5;900,8;1282;23,1;18,6;23,3;21,9;19,1;18,5;83;75;76;37;6;3,1;
2024/01/01;1300 UTC;0;901,8;901,8;901,5;1070,4;22,8;18,4;23,3;22,7;18,8;18,2;78;74;76;276;5,5;2,7;
2024/01/01;1400 UTC;0;901,5;901,8;901,5;901,7;23,4;18,6;23,5;22,8;19,1;18,4;77;74;74;21;5,1;1,3;
2024/01/01;1500 UTC;0;900,6;901,5;900,6;1891,1;25,6;18,5;25,7;23,4;19;18,3;75;64;65;35;2,9;1,1;
2024/01/01;1600 UTC;0;900,4;900,7;900,4;1025,3;21,3;19;25,9;21,3;19,6;18,1;87;64;87;64;9,1;2,7;
2024/01/01;1700 UTC;4;900,3;900,4;899,9;239,1;21,1;19,8;21,3;20,8;19,8;18,9;92;87;92;63;4,7;1,4;
2024/01/01;1800 UTC;11,2;899,7;900,3;899,7;138,4;20,4;19,2;21,1;20,2;19,8;19;93;92;93;193;3,5;1,3;
2024/01/01;1900 UTC;3,2;898,9;899,7;898,9;493,2;21,4;19,8;21,4;20,3;19,8;18,9;93;91;91;350;3,9;1,9;
2024/01/01;2000 UTC;0;898,4;898,9;898,3;811,5;21,6;19,2;21,8;21,4;19,9;19;91;85;86;295;4,9;2;
2024/01/01;2100 UTC;,2;898,6;898,6;898,4;182,3;21,3;19,1;21,7;21,3;19,3;19;88;85;87;327;4;,4;
2024/01/01;2200 UTC;,4;898,5;898,7;898,5;49,3;21,1;19,4;21,4;21,1;19,5;18,7;90;85;90;251;2,1;,8;
2024/01/01;2300 UTC;0;899;899;898,5;;20,7;19,1;21,2;20,7;19,4;19,1;91;90;91;82;4,6;2,6;
2024/01/02;0000 UTC;0;900;900;899;;20,6;19;20,7;20,5;19,2;19;91;91;91;153;4,8;2,2;
2024/01/02;0100 UTC;0;900,5;900,5;900;;20,5;18,7;20,6;20,5;19,1;18,7;91;90;90;201;4,8;2;
2024/01/02;0200 UTC;0;901,1;901,1;900,5;;20,3;18,5;20,5;20,3;18,7;18,5;90;89;89;61;4,4;2,3;
2024/01/02;0300 UTC;0;900,7;901,1;900,7;;20,2;18,6;20,4;20,2;18,6;18,5;91;89;91;224;5,1;2,3;
2024/01/02;0400 UTC;0;900,1;900,7;900,1;;20,2;18,7;20,3;20,2;18,7;18,6;91;91;91;305;4,2;2,3;
2024/01/02;0500 UTC;,2;899,3;900,1;899,3;;20,1;18,7;20,2;20,1;18,8;18,7;91;91;91;256;4,3;2,3;
2024/01/02;0600 UTC;0;899,2;899,3;899,1;;20,1;18,7;20,1;20,1;18,8;18,7;92;91;92;304;5,3;2,7;
2024/01/02;0700 UTC;0;899,1;899,3;899,1;;20,1;18,7;20,1;20;18,7;18,6;92;91;92;57;5,3;2,9;
2024/01/02;0800 UTC;0;899,2;899,3;899;;19,9;18,4;20,1;19,9;18,7;18,4;92;91;91;149;5,3;3;
2024/01/02;0900 UTC;0;899,7;899,7;899,1;2,7;19,9;18,4;19,9;19,8;18,4;18,3;91;91;91;210;5,9;2,6;
2024/01/02;1000 UTC;0;900,1;900,1;899,6;164,2;20,3;18,6;20,3;19,9;18,7;18,4;91;90;90;252;4,4;2,9;
2024/01/02;1100 UTC;,2;900,2;900,2;900,1;495,1;21;18,9;21;20,3;18,9;18,6;90;87;87;98;5,5;3,2;
2024/01/02;1200 UTC;0;900,5;900,5;900,2;841,7;21,4;18,8;21,6;21;18,9;18,5;87;84;85;257;5,8;3,2;
2024/01/02;1300 UTC;0;900,5;900,6;900,5;843,2;22,2;18,8;22,3;21,4;19,2;18,6;85;81;81;317;5,5;2,7;
2024/01/02;1400 UTC;0;900;900,5;900;1835,2;23,9;18,6;24,4;22;19,5;18,6;82;72;72;257;5,1;1,8;
2024/01/02;1500 UTC;2,6;899,3;900;899,3;1331,1;21,7;19;24,5;21,7;20,3;18,3;84;71;84;169;7,8;4,6;
2024/01/02;1600 UTC;1;898,9;899,4;898,9;1879,9;23,4;20,3;23,4;21,5;20,9;19;88;82;83;239;8,2;3,7;
