REGIAO:;SE
UF:;MG
ESTACAO:;UBERLANDIA
CODIGO (WMO):;A507
LATITUDE:;-18,91694443
LONGITUDE:;-48,25555555
ALTITUDE:;874,77
DATA DE FUNDACAO:;18/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;915,3;915,4;914,8;;23,3;19,9;24;23,2;20;19,7;82;78;81;255;4,1;,8;
2024/01/01;0100 UTC;0;915,9;915,9;915,3;;23,2;19,5;23,5;23,2;19,8;19,4;81;79;80;288;3,7;,3;
2024/01/01;0200 UTC;0;916,2;916,2;915,8;;22,9;19,3;23,3;22,9;19,7;19,3;81;80;80;220;2,3;,6;
2024/01/01;0300 UTC;0;916,4;916,4;916,2;;22,6;19,1;22,9;22,6;19,3;19;81;79;81;169;2,8;,2;
2024/01/01;0400 UTC;0;916;916,4;916;;22,6;19,5;22,7;22,4;19,6;19,1;83;81;83;128;1,6;,2;
2024/01/01;0500 UTC;0;915,1;916;915,1;;22,6;19,6;22,7;22,2;19,6;19,1;83;82;83;242;1,5;,4;
2024/01/01;0600 UTC;0;914,6;915,1;914,6;;22,4;19,2;22,6;22,4;19,9;19,2;85;82;82;231;1,8;,1;
2024/01/01;0700 UTC;0;914,2;914,6;914,2;;22,6;19,5;22,6;22,4;19,5;18,5;83;77;83;271;1,7;0;
2024/01/01;0800 UTC;0;914,5;914,5;914,2;;22,5;20,2;22,6;22,2;20,2;19,4;87;83;87;5;1,7;,7;
2024/01/01;0900 UTC;5,8;915,2;915,2;914,5;,9;21,6;19,8;22,7;21,6;20,3;19,6;89;86;89;199;3,6;1,3;
2024/01/01;1000 UTC;16,8;915,7;915,7;915,2;73,7;21,3;19,9;21,8;21,1;20,4;19,8;92;89;92;348;4;,8;
2024/01/01;1100 UTC;4,4;916,6;916,6;915,7;108,8;21,1;19,6;21,3;21;20;19,6;92;91;92;237;3,3;1,3;
2024/01/01;1200 UTC;3;917;917,1;916,6;270,7;21;19,1;21,3;21;19,8;19,1;92;89;89;35;3,3;1,1;
2024/01/01;1300 UTC;,8;916,9;917;916,8;1128,6;22,4;19,2;22,5;21;19,7;18,9;90;82;82;239;4,9;1,7;
2024/01/01;1400 UTC;0;916,7;916,9;916,7;1820,2;23,3;18,8;23,3;22,3;20;18,8;84;76;76;141;4,9;1,4;
2024/01/01;1500 UTC;0;916;916,7;916;2048,6;24,9;19,1;25,2;23;19,8;18,4;78;68;70;350;3,2;1,5;
2024/01/01;1600 UTC;0;915,2;916;915,2;2829,7;26,3;18,8;26,7;24,8;20,3;18,1;74;62;63;51;3,7;1,4;
2024/01/01;1700 UTC;0;914,1;915,2;914,1;2329,3;27;18,1;27,6;26,3;19,5;17,2;65;56;59;107;3,5;,8;
2024/01/01;1800 UTC;0;913,4;914,1;913,3;1915,6;27,2;18,1;27,9;26,7;18,8;17,6;61;54;58;34;3,2;1;
2024/01/01;1900 UTC;0;913,1;913,4;912,9;445,5;26,7;18,5;27,2;26,6;18,7;17,4;62;56;61;129;2,6;1,1;
2024/01/01;2000 UTC;0;913;913,2;913;446,6;23,7;20;26,8;23,7;20;18,4;80;60;80;110;8,3;1,6;
2024/01/01;2100 UTC;0;912,6;913;912,6;388,2;23,5;19,8;23,8;23,4;20,2;19,7;81;79;80;277;6,1;2,1;
2024/01/01;2200 UTC;0;913;913;912,5;85,1;22,8;18,6;23,5;22,8;19,6;18,6;80;77;77;74;5,7;1,8;
2024/01/01;2300 UTC;0;914,2;914,2;913;;22,7;18,6;22,8;22,5;18,8;18,5;79;77;78;136;4,4;,6;
