REGIAO:;SE
UF:;MG
ESTACAO:;VICOSA
CODIGO (WMO):;A510
LATITUDE:;-20,762607
LONGITUDE:;-42,864013
ALTITUDE:;697,64
DATA DE FUNDACAO:;15/09/05
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;936,3;936,3;936;;19,7;18;20;19,7;18,2;17,9;90;89;90;244;1,8;,2;
2024/01/01;0100 UTC;0;936,3;936,4;936,1;;19,3;17,8;19,7;19,3;18,1;17,8;91;90;91;222;2,3;,3;
2024/01/01;0200 UTC;0;936,5;936,6;936,3;;19,1;17,5;19,3;19,1;18;17,5;93;90;90;330;2,1;,2;
2024/01/01;0300 UTC;0;936,1;936,5;936,1;;18,9;17;19,2;18,9;17,5;16,7;90;87;88;278;1,6;,1;
2024/01/01;0400 UTC;0;935,7;936,1;935,6;;18,6;17,5;18,9;18,6;17,6;16,9;94;88;94;98;1,3;,3;
2024/01/01;0500 UTC;0;935,3;935,7;935,3;;18,4;17,1;18,6;18,4;17,6;17,1;94;92;92;73;3;,5;
2024/01/01;0600 UTC;0;935,2;935,3;935,2;;18,3;17,1;18,4;18,3;17,2;16,8;93;91;93;142;2,7;,3;
2024/01/01;0700 UTC;,6;935,2;935,3;935;;18,1;17,3;18,3;18,1;17,4;17;95;92;95;195;2,4;,2;
2024/01/01;0800 UTC;1,8;935,7;935,8;935,2;;17,8;17,2;18,1;17,8;17,3;17,1;96;95;96;63;3;1,6;
2024/01/01;0900 UTC;7,2;936,1;936,1;935,7;6,5;17,8;17,3;17,8;17,7;17,3;17,1;97;96;97;91;3;0;
2024/01/01;1000 UTC;9;936,1;936,2;935,9;35,1;17,6;17,2;17,8;17,6;17,3;17,1;97;97;97;214;2,6;,5;
2024/01/01;1100 UTC;3;936,5;936,6;936,1;164,9;18,2;17,7;18,2;17,6;17,7;17,2;97;97;97;146;1,9;,1;
2024/01/01;1200 UTC;3,4;936,7;936,7;936,5;262,2;18,8;18,2;18,8;18,2;18,2;17,7;97;97;97;119;1,6;,1;
2024/01/01;1300 UTC;2,2;936,7;936,7;936,6;372,8;18,6;17,8;19;18,5;18,4;17,8;97;95;95;313;1,9;,3;
2024/01/01;1400 UTC;2,8;936,5;936,7;936,5;418,3;19,1;18,4;19,2;18,6;18,6;17,8;96;95;96;295;2,3;,5;
2024/01/01;1500 UTC;,6;936,2;936,5;936,2;452,9;19,5;18,8;19,5;19,1;18,8;18,4;96;95;95;137;2;,3;
2024/01/01;1600 UTC;2,6;935,8;936,2;935,8;427,5;19,3;18,5;19,6;19,2;18,9;18,4;96;95;95;127;2,1;,6;
2024/01/01;1700 UTC;6,2;935,3;935,8;935,3;297,1;19,2;18,6;19,5;19,2;18,7;18,4;96;95;96;333;2,3;,6;
2024/01/01;1800 UTC;10,2;934,8;935,3;934,8;302,3;19,2;18,6;19,3;19;18,7;18,3;97;96;97;329;2,1;,1;
2024/01/01;1900 UTC;1,4;934,4;934,8;934,4;388,6;19,3;18,7;19,5;19,1;18,9;18,6;97;96;96;117;1,5;,3;
2024/01/01;2000 UTC;,4;934,3;934,4;934,3;297,8;19,6;18,8;19,7;19,1;19;18,5;96;96;96;116;1,8;0;
2024/01/01;2100 UTC;,4;934,9;935;934,3;60;19,2;18,5;19,6;19,2;18,9;18,5;96;96;96;323;2,5;,6;
2024/01/01;2200 UTC;1;935,2;935,2;934,9;2,1;18,7;18,2;19,2;18,7;18,5;18,2;96;96;96;266;2,5;,1;
2024/01/01;2300 UTC;,4;935,3;935,4;935,2;;18,7;18,2;18,7;18,7;18,2;18,1;97;96;97;159;,8;0;
2024/01/02;0000 UTC;0;935,8;935,9;935,3;;18,7;18,2;18,7;18,6;18,2;18,1;97;97;97;355;2,4;,1;
2024/01/02;0100 UTC;0;936;936,2;935,8;;18,5;18;18,7;18,5;18,2;18;97;97;97;129;1,8;,2;
2024/01/02;0200 UTC;0;935,7;936,3;935,7;;18,4;17,9;18,5;18,4;18,1;17,9;97;97;97;14;2,5;,4;
2024/01/02;0300 UTC;0;935,6;935,8;935,5;;18,3;17,9;18,4;18,3;18;17,9;97;97;97;87;2,5;,2;
2024/01/02;0400 UTC;0;935,1;935,6;935;;18,3;17,9;18,4;18,3;18;17,9;98;97;98;213;1,8;,1;
2024/01/02;0500 UTC;0;934,6;935;934,6;;18,3;18;18,4;18,3;18;17,9;98;98;98;179;2;0;
2024/01/02;0600 UTC;0;934,2;934,6;934,2;;18,3;17,9;18,4;18,3;18;17,9;98;98;98;153;2,2;0;
2024/01/02;0700 UTC;0;934,5;934,5;934,2;;18,4;18;18,4;18,3;18;17,9;98;98;98;338;,9;0;
2024/01/02;0800 UTC;0;934,7;934,7;934,5;;18,3;18;18,4;18,3;18,1;18;98;98;98;321;1,1;,1;
2024/01/02;0900 UTC;0;935;935,1;934,7;19,7;18,4;18;18,4;18,3;18,1;18;98;98;98;188;1,1;0;
2024/01/02;1000 UTC;,2;935;935;934,9;251,8;18,8;18,4;18,8;18,4;18,4;18;98;97;97;84;1,1;,2;
2024/01/02;1100 UTC;,4;935,3;935,3;935;563,5;19,9;19,4;19,9;18,8;19,4;18,4;97;97;97;189;1,5;,2;
2024/01/02;1200 UTC;0;935,2;935,4;935,2;1584,4;20,9;17,8;20,9;19,8;19,6;17,7;97;82;82;86;2;,6;
2024/01/02;1300 UTC;0;935,2;935,3;935,1;1497,4;21,6;18,1;21,6;20,9;18,7;17,4;84;79;81;321;2,4;,9;
2024/01/02;1400 UTC;0;935,2;935,3;935,1;824,5;22,1;18,7;22,1;21,3;18,7;17,5;83;79;81;53;2,2;,4;
2024/01/02;1500 UTC;0;934,4;935,2;934,4;1772,9;23,2;18,6;23,2;22;18,8;18;81;73;75;61;3,5;,6;
2024/01/02;1600 UTC;0;933,6;934,5;933,6;1508;23,7;18,6;24;23,2;20,1;18,4;80;72;73;26;3,1;1,5;
2024/01/02;1700 UTC;0;932,8;933,6;932,8;1671;25,2;19,3;25,2;23,6;20,5;18,4;76;69;70;84;3,1;,9;
2024/01/02;1800 UTC;0;932,5;932,8;932,5;930,1;24,3;19,9;25,3;24,1;20,5;19;79;69;76;35;3,1;,5;
2024/01/02;1900 UTC;0;931,9;932,5;931,9;1447,2;25,6;20,3;25,7;24;20,6;19,6;81;70;72;306;3,6;1,4;
2024/01/02;2000 UTC;0;931,8;932;931,8;882,2;24,3;20,1;25,8;24,3;20,4;19,6;78;69;77;28;3,6;,7;
2024/01/02;2100 UTC;0;932,4;932,4;931,8;220,3;23,5;20,3;24,3;23,5;20,8;19,9;83;77;82;281;2,2;,2;
2024/01/02;2200 UTC;0;933,1;933,1;932,4;19,3;22,5;20,6;23,5;22,5;20,7;20,2;89;82;89;33;1,4;,2;
2024/01/02;2300 UTC;0;933,7;933,7;933,1;;22;20,4;22,5;22;20,8;20,4;92;89;91;26;1,8;,1;
2024/01/03;0000 UTC;,2;934,5;934,5;933,7;;21,9;20,9;22;21,9;20,9;20,3;94;90;94;103;1,8;0;
2024/01/03;0100 UTC;10,6;934,5;934,7;934,5;;21,4;20,7;21,9;21,4;20,9;20,7;96;94;96;73;2,1;0;
2024/01/03;0200 UTC;3,2;934;934,5;934;;21,1;20,5;21,4;21,1;20,7;20,5;97;96;97;62;1;0;
2024/01/03;0300 UTC;,2;933,5;934,1;933,4;;21;20,5;21,1;21;20,5;20,5;97;97;97;28;0;0;
2024/01/03;0400 UTC;0;932,8;933,5;932,8;;21,1;20,6;21,2;21;20,7;20,5;97;97;97;283;0;0;
2024/01/03;0500 UTC;2,2;932,6;932,9;932,6;;21;20,5;21,2;21;20,7;20,5;97;97;97;254;1,8;0;
2024/01/03;0600 UTC;1,2;932,4;932,6;932,4;;21;20,5;21,1;21;20,6;20,5;97;97;97;263;3,1;,2;
2024/01/03;0700 UTC;0;932,5;932,6;932,4;;21,1;20,5;21,1;21;20,5;20,5;97;97;97;77;3,7;,5;
2024/01/03;0800 UTC;1;933,1;933,1;932,5;;21,1;20,5;21,1;21,1;20,6;20,5;97;96;96;155;3,8;1,6;
2024/01/03;0900 UTC;0;933,4;933,4;933,1;31,3;21,2;20,4;21,2;21,1;20,5;20,4;96;96;96;57;4;,8;
2024/01/03;1000 UTC;0;934,1;934,1;933,3;130,8;21,3;20,4;21,4;21,2;20,6;20,4;96;95;95;166;3,9;,8;
2024/01/03;1100 UTC;0;934,5;934,5;934,1;164,8;21,7;20,5;21,7;21,3;20,6;20,4;95;93;93;176;3,9;,5;
2024/01/03;1200 UTC;1,2;934,8;934,8;934,5;304,8;21,8;21;21,8;21,7;21;20,5;95;93;95;78;3,4;1;
2024/01/03;1300 UTC;1,8;934,9;935;934,8;474,9;22,2;21,2;22,2;21,8;21,4;21;95;94;94;231;3,3;1,1;
2024/01/03;1400 UTC;4;934,9;935;934,8;619,9;22,4;21,2;22,5;22;21,5;21,1;95;93;93;174;4,1;1,5;
2024/01/03;1500 UTC;,6;934,3;934,9;934,3;486,7;22,5;21,3;22,7;22,4;21,4;20,8;93;91;93;296;4;,6;
2024/01/03;1600 UTC;1,2;933,6;934,3;933,6;510,9;22,6;21,3;22,7;22,4;21,5;21,1;93;92;93;254;3;,4;
2024/01/03;1700 UTC;,4;933;933,6;933;914,6;23,4;21,9;23,4;22,6;21,9;21,2;93;90;91;228;2,9;1,3;
2024/01/03;1800 UTC;,2;933,1;933,2;932,9;763,1;21,9;19,7;23,7;21,9;22;19,7;91;86;88;261;8,5;3,8;
2024/01/03;1900 UTC;7;932,9;933,7;932,9;85,2;21,2;20,4;21,8;21,1;20,4;19,8;95;88;95;356;8,5;1,1;
2024/01/03;2000 UTC;,4;932,6;932,9;932,6;228,5;21,6;20,9;21,6;21,2;20,9;20,5;96;95;96;212;3,5;1,4;
2024/01/03;2100 UTC;,2;932,7;932,7;932,5;101;21,5;20,7;21,7;21,5;21;20,7;96;95;95;326;4,3;1,4;
2024/01/03;2200 UTC;,4;933,3;933,3;932,7;5;21,5;20,7;21,5;21,5;20,7;20,7;95;95;95;189;4;1;
2024/01/03;2300 UTC;0;933,5;933,5;933,2;;21,4;20,5;21,5;21,3;20,7;20,5;95;95;95;294;3,2;1,4;
2024/01/04;0000 UTC;,4;934;934;933,5;;21,5;20,7;21,5;21,4;20,7;20,4;95;94;95;47;3,7;1,4;
2024/01/04;0100 UTC;,2;934,1;934,1;934;;21,5;20,5;21,6;21,5;20,7;20,5;95;94;94;267;5,3;1,5;
2024/01/04;0200 UTC;2,2;933,6;934,1;933,6;;21,2;20,3;21,5;21,2;20,5;20,3;95;94;95;167;4,3;1,8;
2024/01/04;0300 UTC;,8;932,8;933,6;932,8;;21,2;20,2;21,2;21,1;20,3;20,2;95;94;94;349;5,1;1,8;
2024/01/04;0400 UTC;0;932,1;932,8;932,1;;21,3;20,4;21,4;21,2;20,4;20,2;95;94;94;154;5,8;2,3;
2024/01/04;0500 UTC;2,4;931,5;932,1;931,5;;21,3;20,5;21,4;21,3;20,5;20,3;95;94;95;5;4,9;,7;
2024/01/04;0600 UTC;,2;931,3;931,5;931,2;;21,3;20,6;21,3;21,3;20,6;20,5;96;95;96;23;3;,9;
2024/01/04;0700 UTC;4,4;931,4;931,4;931,2;;21,3;20,7;21,3;21,3;20,7;20,6;96;96;96;266;3,2;,3;
2024/01/04;0800 UTC;0;931,7;931,8;931,4;;21,4;20,7;21,4;21,3;20,7;20,6;96;96;96;104;4;,8;
2024/01/04;0900 UTC;,6;932,3;932,3;931,7;17,3;21,5;20,8;21,5;21,4;20,8;20,6;96;96;96;147;2,6;,3;
2024/01/04;1000 UTC;,2;932,6;932,6;932,2;229,5;21,9;21,1;21,9;21,5;21,1;20,8;96;95;95;242;3,5;,9;
2024/01/04;1100 UTC;2,8;933,2;933,2;932,6;211,6;22;21,1;22,2;21,9;21,4;21,1;95;95;95;124;2,5;,7;
2024/01/04;1200 UTC;7,6;933,3;933,4;933,2;162,9;21,9;21,2;22;21,9;21,2;21,1;96;95;96;348;4;1;
2024/01/04;1300 UTC;5;933,1;933,3;933,1;314,7;22,1;21,4;22,1;21,9;21,4;21,2;96;95;96;352;3,5;1,3;
2024/01/04;1400 UTC;2,2;932,7;933,1;932,7;524,4;22,8;21,9;22,8;22,1;21,9;21,3;96;95;95;261;3,3;,2;
2024/01/04;1500 UTC;3,6;932,3;932,7;932,3;359,5;22,5;21,6;22,8;22,4;21,9;21,5;95;94;94;137;2,9;,9;
2024/01/04;1600 UTC;8,2;932;932,5;932;358,3;21;20,2;22,6;21;21,6;20,1;95;93;95;54;5,8;,8;
2024/01/04;1700 UTC;4,4;931;932;931;717,4;21,5;20,6;21,6;20,9;20,8;20,1;96;94;95;85;3;,2;
2024/01/04;1800 UTC;0;931;931,1;931;938,1;21,8;20,4;22,1;21,4;20,8;19,9;95;89;91;183;1,8;0;
2024/01/04;1900 UTC;1;930,6;931;930,6;598,8;22,3;21;22,5;21,8;21,4;20,4;94;91;93;184;2,3;,4;
2024/01/04;2000 UTC;0;930,8;930,8;930,5;620,9;22,1;20,5;22,4;21,9;21,1;20,1;93;89;91;138;2,3;0;
