REGIAO:;SE
UF:;MG
ESTACAO:;TIMOTEO
CODIGO (WMO):;A511
LATITUDE:;-19,57388888
LONGITUDE:;-42,62249999
ALTITUDE:;493,42
DATA DE FUNDACAO:;22/02/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;958,6;958,6;958;1,1;26;22,4;26,2;26;22,4;22,1;81;78;81;53;1,4;0;
2024/01/01;0100 UTC;,2;959;959;958,6;;25,3;21,7;26;25,2;22,4;21,6;81;80;80;135;1,6;,1;
2024/01/01;0200 UTC;0;959,3;959,3;959;;24,6;21;25,3;24,6;21,7;21;81;80;80;284;1,7;,1;
2024/01/01;0300 UTC;0;958,7;959,3;958,7;,2;24,7;21,1;24,8;24,5;21,3;20,9;81;80;81;120;1;0;
2024/01/01;0400 UTC;,2;958,4;958,8;958,4;,3;24,5;21;24,7;24,4;21,1;20,9;81;80;81;266;1,1;,4;
2024/01/01;0500 UTC;0;958,2;958,5;958,2;,4;24,1;20,6;24,6;24;21,1;20,6;81;81;81;214;2,8;,8;
2024/01/01;0600 UTC;0;957,9;958,2;957,9;2,5;23,9;20,3;24,1;23,9;20,6;20,2;81;80;80;255;3,5;,2;
2024/01/01;0700 UTC;0;957,8;957,9;957,6;1,8;23,9;20,5;24;23,8;20,5;20,3;81;80;81;49;1,7;0;
2024/01/01;0800 UTC;,2;958,2;958,2;957,7;;23,9;20,5;24;23,8;20,6;20,3;82;81;82;293;,8;0;
2024/01/01;0900 UTC;0;958,8;958,8;958,2;10,2;23,7;20,5;23,9;23,6;20,5;20,2;82;81;82;193;1,6;,1;
2024/01/01;1000 UTC;,8;959,3;959,3;958,8;42,9;23,8;20,6;23,9;23,7;20,7;20,5;83;82;82;208;1,8;,5;
2024/01/01;1100 UTC;6,8;959,7;959,7;959,3;91,7;23,5;20,4;23,9;23,5;20,7;20,4;83;82;83;176;2,6;1,3;
2024/01/01;1200 UTC;,4;959,9;959,9;959,6;161,5;23,9;20,8;24;23,5;21;20,4;83;83;83;246;2,6;,2;
2024/01/01;1300 UTC;1;959,9;960;959,9;295,4;24,2;21,3;24,2;23,7;21,3;20,7;84;83;84;281;2,1;,3;
2024/01/01;1400 UTC;1,6;959,9;960,1;959,9;353,7;24;21,3;24,2;23,8;21,3;21;85;84;85;46;2,1;,3;
2024/01/01;1500 UTC;3;959,4;959,9;959,4;573,9;24,1;21,4;24,1;23,8;21,4;21;85;84;85;160;2,4;,2;
2024/01/01;1600 UTC;,8;958,8;959,4;958,8;605,2;25,2;22,4;25,2;24,1;22,4;21,4;85;84;84;76;1,8;,1;
2024/01/01;1700 UTC;,8;957,9;958,8;957,9;630;25,7;22,7;25,7;25,2;22,7;22,3;84;84;84;326;1,6;,4;
2024/01/01;1800 UTC;0;957,5;957,9;957,5;479,2;25,8;22,8;25,8;25;22,8;22,1;84;83;83;278;2,2;,2;
2024/01/01;1900 UTC;0;957,5;957,5;957,3;203,6;26,1;23,2;26,1;25,1;23,2;22;84;83;84;122;1,2;0;
2024/01/01;2000 UTC;,2;957,7;957,7;957,5;100,4;26,2;23,1;26,4;25,6;23,4;22,7;84;82;83;7;1,3;,3;
2024/01/01;2100 UTC;3;957,7;957,7;957,7;63,3;25;21,9;26,3;25;23,2;21,9;84;82;83;90;1,4;0;
2024/01/01;2200 UTC;,2;958,1;958,1;957,7;13,4;24,4;21,2;25,1;24,4;21,9;21,2;83;82;83;208;2,3;,4;
2024/01/01;2300 UTC;0;958,4;958,4;958,1;;23,8;20,8;24,3;23,8;21,2;20,8;83;83;83;58;2,2;,1;
2024/01/02;0000 UTC;,2;958,9;958,9;958,4;;23,8;20,8;24;23,8;21;20,8;84;83;84;16;,9;0;
2024/01/02;0100 UTC;,2;959,3;959,4;958,9;;23,3;20,5;23,8;23,3;20,8;20,5;84;83;84;235;0;0;
2024/01/02;0200 UTC;0;958,9;959,4;958,9;;23,2;20,4;23,3;23,1;20,5;20,4;85;84;85;222;1;,1;
2024/01/02;0300 UTC;,2;958,6;959;958,5;,4;23,1;20,3;23,2;23;20,4;20,3;85;84;85;41;1,2;0;
2024/01/02;0400 UTC;,8;958,1;958,6;958,1;,3;22,9;20,2;23,1;22,9;20,4;20,2;85;85;85;280;,8;,1;
2024/01/02;0500 UTC;,4;957,6;958,1;957,6;;22,9;20,3;23;22,9;20,4;20,3;85;85;85;137;2,4;,8;
2024/01/02;0600 UTC;,8;957,6;957,6;957,5;;22,5;19,9;22,9;22,4;20,3;19,9;86;85;86;344;3,4;1,3;
2024/01/02;0700 UTC;,8;957,4;957,6;957,3;;22,3;19,8;22,5;22,3;19,9;19,8;86;86;86;157;3,6;1,2;
2024/01/02;0800 UTC;,2;957,7;957,7;957,4;,5;22,3;19,9;22,3;22,3;19,9;19,7;86;86;86;301;3,1;,4;
2024/01/02;0900 UTC;,2;958;958,1;957,7;16,4;22,4;20,1;22,4;22,3;20,1;19,9;87;86;87;15;1,8;0;
2024/01/02;1000 UTC;,2;958,2;958,2;958;151,9;23;20,7;23;22,4;20,7;20,1;87;87;87;340;1,1;0;
2024/01/02;1100 UTC;0;958,4;958,4;958,2;357,6;24;21,6;24;23;21,6;20,7;87;86;86;262;1,4;,2;
2024/01/02;1200 UTC;0;958,6;958,6;958,4;470,3;24,5;22,1;24,5;24;22,1;21,6;87;86;86;203;2;,1;
2024/01/02;1300 UTC;0;958,5;958,6;958,5;623,7;25,3;22,8;25,4;24,5;22,9;22,1;86;86;86;211;1,6;,3;
2024/01/02;1400 UTC;0;958,4;958,6;958,4;595,2;25,6;23,1;25,6;25,2;23,1;22,6;86;86;86;82;1,6;,1;
2024/01/02;1500 UTC;0;957,7;958,4;957,7;1240,9;26,8;24;26,8;25,6;24;23,1;86;84;85;215;2,2;,1;
2024/01/02;1600 UTC;0;956,7;957,7;956,7;1562,5;27,2;24;27,4;26,7;24,3;23,7;85;83;83;349;2,2;,8;
2024/01/02;1700 UTC;0;955,8;956,7;955,8;1568,9;28,1;24,7;28,1;27,1;24,7;23,7;83;80;82;315;2,2;,3;
2024/01/02;1800 UTC;0;955,2;955,8;955,2;1354,5;28,2;24,2;28,4;28;24,7;24,2;82;79;79;342;3,2;,8;
2024/01/02;1900 UTC;0;954,6;955,2;954,6;1229,1;28;23,8;28,3;27,8;24,4;23,5;80;77;78;141;3,1;,5;
2024/01/02;2000 UTC;0;954,4;954,6;954,4;602,5;28;24,1;28;27,7;24,1;23,5;79;77;79;72;2,3;,2;
2024/01/02;2100 UTC;0;955,1;955,1;954,4;317;27;22,8;28;27;24,1;22,8;80;78;78;351;2,2;,6;
2024/01/02;2200 UTC;0;955,8;955,8;955,1;59,6;25,8;22,1;27;25,8;22,9;21,9;80;78;80;305;2,7;1,4;
2024/01/02;2300 UTC;0;956,5;956,5;955,8;;25,7;22;25,9;25,6;22,2;21,8;81;79;80;74;2,8;,8;
2024/01/03;0000 UTC;0;957,1;957,1;956,5;,4;25,8;22;25,8;25,5;22,1;21,7;81;79;80;132;3,2;,7;
2024/01/03;0100 UTC;3,4;957,5;957,5;957,1;;25,4;22;25,8;25,4;22,2;21,8;81;80;81;211;3,2;0;
2024/01/03;0200 UTC;,6;957,3;957,5;957,2;1,4;25,2;22,1;25,6;25,1;22,2;21,7;83;81;83;325;4,4;1,7;
2024/01/03;0300 UTC;0;957;957,4;957;1,2;25;22;25,3;24,9;22,3;21,9;83;83;83;261;5,1;,7;
2024/01/03;0400 UTC;,2;956,6;957;956,6;,5;24,6;21,6;25;24,6;22;21,5;84;83;84;152;5,4;1,3;
2024/01/03;0500 UTC;0;956,2;956,6;956,2;,9;24,5;21,8;24,6;24,5;21,9;21,6;85;84;85;196;4,2;1;
2024/01/03;0600 UTC;,4;955,8;956,2;955,8;;24,4;21,7;24,5;24,4;21,8;21,7;85;84;85;240;6;,9;
2024/01/03;0700 UTC;0;955,9;955,9;955,8;,8;24,4;21,7;24,5;24,3;21,8;21,6;85;85;85;358;6;1;
2024/01/03;0800 UTC;7;956,4;956,4;955,9;1,3;24,2;21,6;24,4;24,2;21,7;21,5;85;85;85;270;4,7;1,1;
2024/01/03;0900 UTC;2;956,9;956,9;956,4;10,7;24,3;21,8;24,5;24,1;21,9;21,5;86;85;86;352;5,1;1,1;
2024/01/03;1000 UTC;0;957,6;957,6;956,9;152,9;24,9;22,5;24,9;24,3;22,5;21,8;86;86;86;72;6;2,1;
2024/01/03;1100 UTC;0;958,1;958,1;957,6;473,1;25,7;23,2;25,7;24,9;23,2;22,5;86;86;86;32;5,9;1,5;
2024/01/03;1200 UTC;0;958,3;958,3;958;883,1;26,4;23,8;26,4;25,7;23,8;23,2;86;85;86;169;5,6;1;
2024/01/03;1300 UTC;0;958,3;958,4;958,2;1269,2;26,9;24,3;27;26;24,4;23,3;86;85;86;178;5,1;1,3;
2024/01/03;1400 UTC;0;958,2;958,4;958,1;1191,2;26,9;24;27,4;26,8;24,6;23,8;86;83;84;117;4,4;,4;
2024/01/03;1500 UTC;4;957,4;958,2;957,4;662;26,9;24,4;26,9;26,4;24,4;23,6;86;84;86;124;7,5;,8;
2024/01/03;1600 UTC;2,2;957,1;957,4;957;794,4;27;24,3;27,1;26,5;24,6;23,8;86;84;85;113;6,6;,8;
2024/01/03;1700 UTC;1,6;956,5;957,1;956,5;316,9;26,5;23,9;27,1;26,3;24,4;23,8;87;84;86;285;5,9;2,4;
2024/01/03;1800 UTC;0;956;956,6;956;421,3;26,6;24;26,8;26,4;24,3;23,6;87;84;86;218;5,9;1,9;
2024/01/03;1900 UTC;,6;955,9;956,2;955,9;436,9;26,6;23,8;26,9;26,2;24,4;23,5;87;84;85;35;4,5;,3;
2024/01/03;2000 UTC;9,6;956;956;955,8;126,9;26;23,3;26,8;25,9;24;22,9;86;83;85;298;3,8;,9;
2024/01/03;2100 UTC;,2;956,3;956,3;955,9;111,2;25,9;23,2;26,3;25,8;23,7;23,1;86;85;85;231;5,5;2,4;
2024/01/03;2200 UTC;1;957;957;956,3;12;25,7;23,1;25,9;25,6;23,3;23;86;85;86;20;5,9;,5;
2024/01/03;2300 UTC;6,6;957,3;957,3;957;;25,3;22,7;25,8;25,3;23,2;22,6;86;85;86;297;6,1;1,4;
2024/01/04;0000 UTC;3,8;957,7;957,7;957,3;;25,5;22,9;25,5;25,1;22,9;22,5;86;85;86;229;6,1;,2;
2024/01/04;0100 UTC;1,4;957,8;957,8;957,7;1,2;25,4;22,7;25,5;25,3;23;22,7;87;85;85;209;2,8;,1;
2024/01/04;0200 UTC;,8;957,4;957,8;957,4;,4;25,2;22,6;25,5;25,1;22,9;22,5;86;85;85;182;1,6;0;
2024/01/04;0300 UTC;,2;956,6;957,4;956,6;,6;25,1;22,6;25,3;25;22,7;22,3;86;85;86;257;1,8;0;
2024/01/04;0400 UTC;1,4;955,8;956,6;955,8;;25,2;22,6;25,3;25;22,8;22,5;86;85;86;94;1,1;0;
2024/01/04;0500 UTC;1;955,2;955,8;955,2;,4;24,9;22,4;25,2;24,9;22,7;22,3;86;85;86;228;2,3;,1;
2024/01/04;0600 UTC;,2;954,8;955,2;954,8;;24,8;22,2;25;24,8;22,4;22,1;86;85;86;248;6,2;1,2;
2024/01/04;0700 UTC;0;954,8;954,8;954,6;;24,8;22,3;25;24,7;22,4;22;86;85;86;67;4,3;,2;
2024/01/04;0800 UTC;0;955,2;955,2;954,8;;24,7;22;24,9;24,7;22,3;22;86;85;85;14;3,7;,9;
2024/01/04;0900 UTC;0;955,5;955,5;955,1;56,2;24,7;22,3;24,8;24,6;22,3;22;86;85;86;166;3,6;,4;
2024/01/04;1000 UTC;0;955,8;955,9;955,5;305,7;25,3;22,9;25,3;24,7;22,9;22,3;87;86;87;141;4;1,1;
2024/01/04;1100 UTC;0;956,4;956,4;955,8;515,7;25,6;23,1;25,7;25,3;23,2;22,9;87;85;86;43;4;,7;
2024/01/04;1200 UTC;,4;956,6;956,7;956,4;435,5;26,1;23,4;26,1;25,5;23,6;23;87;85;86;34;3,2;,7;
2024/01/04;1300 UTC;,2;956,3;956,6;956,3;939,5;26,8;24,3;26,8;26,1;24,3;23,4;86;85;86;195;3,1;,5;
2024/01/04;1400 UTC;,2;956;956,4;956;1220,7;27,4;24,8;27,4;26,7;24,8;24,2;86;85;86;64;2;,4;
2024/01/04;1500 UTC;,8;955,5;956;955,5;619,1;27,3;24,6;27,5;27,1;24,8;24,4;86;84;85;51;2,1;,2;
