REGIAO:;SE
UF:;MG
ESTACAO:;PASSOS
CODIGO (WMO):;A516
LATITUDE:;-20,745237
LONGITUDE:;-46,633916
ALTITUDE:;781,7
DATA DE FUNDACAO:;16/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;925,4;925,4;925;;21;20,2;21,2;20,9;20,2;20,1;95;94;95;36;1,7;0;
2024/01/01;0100 UTC;0;926;926;925,4;;20,8;20;21;20,8;20,1;19,9;95;95;95;278;1,9;0;
2024/01/01;0200 UTC;,8;926,8;926,8;926;;21;20,2;21;20,8;20,2;20;95;95;95;325;,4;0;
2024/01/01;0300 UTC;1,2;926;926,8;926;;20,8;20;21;20,7;20,2;19,9;95;95;95;247;2,9;1,1;
2024/01/01;0400 UTC;0;925,2;926;925,2;;20,8;20,1;20,9;20,8;20,1;20;96;95;96;54;2,9;0;
2024/01/01;0500 UTC;0;925;925,2;925;;20,8;20;20,8;20,8;20,1;20;96;96;96;53;3,2;,6;
2024/01/01;0600 UTC;0;924,6;925,1;924,6;;20,7;19,9;20,8;20,6;20;19,9;96;95;95;76;3,2;,9;
2024/01/01;0700 UTC;0;924,6;924,8;924,5;;20,8;19,9;20,8;20,7;19,9;19,8;95;94;94;274;4,1;0;
2024/01/01;0800 UTC;0;924,9;924,9;924,6;,5;20,9;19,9;20,9;20,8;20;19,9;95;94;94;107;3,7;1,1;
2024/01/01;0900 UTC;0;925,3;925,3;924,8;36,5;20,8;19,9;20,9;20,8;19,9;19,8;94;94;94;161;5,2;2,8;
2024/01/01;1000 UTC;0;925,6;925,6;925,2;311,6;20,9;19,4;20,9;20,6;19,9;19,4;94;91;91;307;6;3,7;
2024/01/01;1100 UTC;0;925,9;926;925,6;578,9;21,4;19,4;21,4;20,9;19,6;19,2;91;88;88;9;6,5;3,8;
2024/01/01;1200 UTC;0;926,3;926,3;925,9;882,5;22,2;19,9;22,4;21,4;20,2;19,4;89;86;87;223;6,4;3,1;
2024/01/01;1300 UTC;0;926,5;926,5;926,2;1101,8;22,8;20,5;23,4;22,2;20,7;19,8;87;82;87;58;5,4;1,9;
2024/01/01;1400 UTC;0;926,4;926,5;926,4;1104,5;23,7;20,1;23,8;22,7;20,7;20,1;87;80;80;235;5;2,6;
2024/01/01;1500 UTC;0;925,9;926,4;925,9;1634;24,4;20,4;24,7;23,7;20,9;19,9;83;77;79;316;4,3;1,7;
2024/01/01;1600 UTC;0;925,1;925,9;925,1;1371,5;24,9;20,8;25;24,2;20,8;20;79;75;78;258;4,4;2,1;
2024/01/01;1700 UTC;0;924,3;925,1;924,3;1266,5;25,1;20,8;25,3;24,5;21,3;20;81;75;77;260;4,5;2,6;
2024/01/01;1800 UTC;,2;923,6;924,4;923,6;1659,3;26;21,1;26;25;21,3;20;78;72;74;269;4,5;2,4;
2024/01/01;1900 UTC;0;923,4;923,6;923,3;1398,9;25,2;20,7;26,1;25,2;21,3;20,2;77;73;76;210;5,7;3;
2024/01/01;2000 UTC;0;923,1;923,4;923,1;802,1;24,7;20,6;25,2;24,7;20,9;20,3;78;75;78;101;5,1;2,5;
2024/01/01;2100 UTC;0;923,6;923,7;923,2;240,4;23,1;20;24,7;23,1;20,6;20;84;77;83;254;5,2;2,5;
2024/01/01;2200 UTC;0;923,7;923,8;923,6;74,1;22,4;20;23,1;22,4;20;19,8;86;82;86;246;4,8;1,4;
2024/01/01;2300 UTC;0;924,1;924,1;923,6;;22,2;19,9;22,5;22,2;20,1;19,9;87;86;87;150;5;1,9;
2024/01/02;0000 UTC;0;924,9;924,9;924,1;;21,8;19,7;22,2;21,8;19,9;19,6;88;86;88;317;5,9;1,1;
2024/01/02;0100 UTC;0;925,6;925,6;924,9;;21,4;19,6;21,8;21,4;19,7;19,6;90;88;89;14;4,8;2,4;
2024/01/02;0200 UTC;0;925,8;925,9;925,6;;21,5;19,7;21,5;21,3;19,7;19,5;90;89;90;174;4,3;1;
2024/01/02;0300 UTC;0;925,2;925,8;925,2;;21,5;19,6;21,5;21,4;19,6;19,6;90;89;89;297;5,2;2,7;
2024/01/02;0400 UTC;0;924,5;925,2;924,5;;21,3;19,8;21,5;21,3;19,8;19,6;91;89;91;84;5,5;2,6;
2024/01/02;0500 UTC;0;924;924,5;924;;21,3;19,8;21,3;21,2;19,8;19,7;91;91;91;43;5;2,8;
2024/01/02;0600 UTC;0;924,1;924,2;924;;21,2;19,8;21,3;21,1;19,8;19,7;92;91;92;108;4,8;1,8;
2024/01/02;0700 UTC;0;924;924,1;923,8;;21,1;19,7;21,2;21,1;19,8;19,6;92;90;92;135;5,7;2,2;
2024/01/02;0800 UTC;0;924,3;924,3;923,9;;20,9;19,3;21,1;20,9;19,7;19,3;92;90;90;288;3,8;1,3;
2024/01/02;0900 UTC;0;924,8;924,8;924,3;36,2;21;19,5;21;20,8;19,5;18,8;92;88;92;343;3,5;,2;
2024/01/02;1000 UTC;0;925,1;925,1;924,8;190,2;21,5;19,7;21,5;21;19,9;19,6;92;89;89;236;3,1;1,3;
2024/01/02;1100 UTC;0;925,2;925,2;925;706,1;23;20,2;23;21,5;20,2;19,3;89;82;84;319;4,1;2;
2024/01/02;1200 UTC;0;925,4;925,4;925,2;1047,5;23,3;19,3;23,5;22,9;20,5;19,3;84;78;78;19;4,1;1,8;
2024/01/02;1300 UTC;0;925,1;925,5;925,1;1229,7;24,6;20,2;24,7;23,3;20,4;19,1;79;75;77;300;4,6;1,6;
2024/01/02;1400 UTC;0;924,7;925,1;924,7;1178,2;25,1;19,7;25,2;24,2;20,6;19,3;79;71;72;202;4,3;2,3;
2024/01/02;1500 UTC;0;923,9;924,7;923,9;2994,5;27,3;20,5;27,4;25,1;21,3;19,5;73;66;67;132;6,1;3,6;
2024/01/02;1600 UTC;0;923,2;923,9;923,2;2500;27,6;20,2;27,7;26,2;20,7;19,3;69;62;64;272;7;2,8;
2024/01/02;1700 UTC;0;922,2;923,2;922,2;3353,6;28,1;19,6;29,1;27,2;21,3;19;66;57;60;262;5,5;1,4;
2024/01/02;1800 UTC;0;921,4;922,2;921,4;1909,8;27,6;19,2;29,4;27,4;21;18,9;64;56;60;28;5,3;1,1;
2024/01/02;1900 UTC;0;921,1;921,4;921,1;938,4;26,8;20,1;27,8;26,8;21;18,9;68;59;67;253;3,8;1,9;
2024/01/02;2000 UTC;0;921,3;921,3;921;606,4;25;19,9;26,9;25;20,9;19,7;74;66;74;351;6,2;3,3;
2024/01/02;2100 UTC;0;921,6;921,7;921,3;392,8;24,6;20,4;25;24,5;20,6;19,8;78;73;77;289;6,2;,8;
2024/01/02;2200 UTC;0;922,2;922,2;921,6;118,6;23,3;20,9;24,6;23,3;21;20;87;77;87;105;2,8;0;
2024/01/02;2300 UTC;0;923,2;923,2;922,2;;22,5;21,1;23,3;22,5;21,1;19,7;91;81;91;270;,5;0;
2024/01/03;0000 UTC;0;923,5;923,6;923,2;;22,2;20,5;22,7;22,2;21,3;20,5;92;90;90;151;0;0;
