REGIAO:;SE
UF:;MG
ESTACAO:;MURIAE
CODIGO (WMO):;A517
LATITUDE:;-21,105
LONGITUDE:;-42,37583332
ALTITUDE:;282,79
DATA DE FUNDACAO:;30/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;983,1;983,2;982,9;;20,8;19,2;21;20,6;19,5;18,9;91;90;91;241;2,6;0;
2024/01/01;0100 UTC;0;983,5;983,6;983,1;;20,9;19,5;21;20,6;19,6;19,1;92;90;91;143;1;0;
2024/01/01;0200 UTC;0;983,2;983,5;983,1;;20,8;19,1;20,9;20,6;19,5;19;92;90;90;324;1,1;0;
2024/01/01;0300 UTC;0;982,7;983,3;982,7;;20,6;18,7;20,9;20,5;19,3;18,5;91;88;89;270;1,4;,2;
2024/01/01;0400 UTC;0;982;982,7;982;;20,5;17,9;20,8;20,1;19;17,7;90;85;86;176;2,1;,2;
2024/01/01;0500 UTC;0;981,5;982;981,5;;20,7;18,2;20,8;20,3;18,3;17,6;86;84;86;262;2,5;,2;
2024/01/01;0600 UTC;0;981,5;981,7;981,4;;20,4;18,5;20,9;20,4;18,8;18,1;89;86;88;122;2,7;,3;
2024/01/01;0700 UTC;0;981,7;981,7;981,4;;20,2;18,4;20,5;20,1;18,6;18,2;90;88;90;56;1,6;,1;
2024/01/01;0800 UTC;,2;982,2;982,2;981,6;;20,1;18,6;20,3;20;18,8;18,3;91;90;91;182;1,8;0;
2024/01/01;0900 UTC;5,6;982,7;982,7;982,2;11,3;19,6;18,4;20,1;19,6;18,7;18,4;93;91;93;290;1,3;,2;
2024/01/01;1000 UTC;17,4;982,9;983,1;982,7;21;19,6;18,7;19,9;19,4;18,8;18,4;95;93;95;23;1,2;,1;
2024/01/01;1100 UTC;10;983,3;983,4;982,9;95,4;19,4;18,5;19,7;19,4;18,8;18,5;95;95;95;315;1,3;,1;
2024/01/01;1200 UTC;5,4;983,3;983,4;983,2;316,1;19,6;18,8;19,9;19,4;19;18,5;95;94;95;275;1,9;,4;
2024/01/01;1300 UTC;1,6;983;983,3;982,9;655,3;20,3;19,3;20,4;19,6;19,5;18,8;95;94;94;52;2,9;,5;
2024/01/01;1400 UTC;1,4;982,6;983;982,5;662,1;20,5;19,4;20,5;20;19,4;18,9;94;93;94;41;3,8;,6;
2024/01/01;1500 UTC;5,4;982,3;982,7;982,3;404,6;20;19,1;20,5;20;19,5;18,9;95;93;94;286;3,3;,8;
2024/01/01;1600 UTC;4,2;981,8;982,4;981,8;356,5;20,1;19,3;20,3;19,8;19,4;18,9;95;94;95;63;3,4;,5;
2024/01/01;1700 UTC;3,4;981,4;981,8;981,4;419;20,2;19,3;20,3;19,9;19,5;19,1;95;95;95;257;2,9;,4;
2024/01/01;1800 UTC;4,2;980,9;981,4;980,9;289,3;20,1;19,3;20,4;20;19,5;19,1;95;95;95;30;2,3;,3;
2024/01/01;1900 UTC;6,6;980,6;980,9;980,6;306;20,1;19,3;20,2;19,8;19,4;19;95;95;95;39;2,4;,2;
2024/01/01;2000 UTC;,8;980,6;980,6;980,4;181,6;19,7;18,8;20,2;19,6;19,4;18,8;95;95;95;162;3;,5;
2024/01/01;2100 UTC;,2;980,9;980,9;980,6;66,7;19,7;18,8;19,8;19,6;18,9;18,7;95;95;95;279;3;0;
2024/01/01;2200 UTC;,2;981,5;981,5;980,9;1,3;19,8;18,9;19,8;19,6;19;18,7;95;95;95;240;2,3;,4;
2024/01/01;2300 UTC;,2;981,6;981,6;981,3;;19,8;19;19,9;19,7;19,1;18,9;95;95;95;320;2,3;,4;
2024/01/02;0000 UTC;0;982;982,2;981,6;;19,9;19,1;19,9;19,7;19,1;19;95;95;95;245;2,2;,2;
2024/01/02;0100 UTC;0;982,5;982,5;982;;19,7;18,9;19,9;19,7;19,1;18,9;95;95;95;318;2,2;,2;
2024/01/02;0200 UTC;0;982;982,5;981,9;;19,7;18,9;19,9;19,7;19,1;18,9;95;95;95;332;1,9;,3;
2024/01/02;0300 UTC;0;981,3;982;981,3;,5;19,8;18,9;19,9;19,7;19,1;18,8;95;95;95;152;1,9;,1;
2024/01/02;0400 UTC;0;981;981,3;981;;19,8;18,9;20;19,7;19;18,8;95;94;95;113;1,9;0;
2024/01/02;0500 UTC;0;980,5;981;980,5;;19,8;19;20;19,8;19,1;18,9;95;95;95;54;0;0;
2024/01/02;0600 UTC;,4;980,3;980,5;980,2;;19,8;19;19,9;19,7;19,1;18,9;95;95;95;182;0;0;
2024/01/02;0700 UTC;0;980,5;980,6;980,3;;19,9;19,1;19,9;19,7;19,1;18,9;95;95;95;125;,5;0;
2024/01/02;0800 UTC;0;980,9;980,9;980,5;1,4;19,6;18,8;19,9;19,6;19,1;18,8;95;95;95;56;3;,1;
2024/01/02;0900 UTC;0;980,9;981;980,9;57,9;19,7;18,9;19,7;19,4;18,9;18,6;95;95;95;69;1,9;0;
2024/01/02;1000 UTC;0;981,1;981,1;980,9;333,6;20,5;19,5;20,6;19,7;19,5;18,8;95;93;94;292;,8;0;
2024/01/02;1100 UTC;0;981,4;981,5;981,1;468,9;20,9;19,5;21;20,2;19,6;18,7;94;91;92;268;2,2;,4;
2024/01/02;1200 UTC;0;981,3;981,5;981,3;812,9;21,4;19,2;21,7;20,2;20;18,4;92;87;87;207;2;,2;
2024/01/02;1300 UTC;0;981;981,4;980,9;753,3;21,9;19,7;22;21,3;20;19;89;86;87;170;1,8;,2;
2024/01/02;1400 UTC;0;980,8;981,1;980,8;866,7;22,5;19,6;22,8;21,5;20,2;19;88;83;84;86;1,7;0;
2024/01/02;1500 UTC;0;980,1;980,8;980,1;810,5;23,3;20,6;23,6;22,5;21,2;19,6;87;84;85;51;2,8;,9;
2024/01/02;1600 UTC;0;979,2;980,1;979,2;1219,2;24,2;20,8;24,6;23,2;21,6;20,4;86;81;81;160;2,8;,8;
2024/01/02;1700 UTC;0;978,3;979,2;978,3;1386;25,9;22,1;25,9;24,2;22,1;20,7;83;78;80;188;3,9;,5;
2024/01/02;1800 UTC;0;977,9;978,3;977,9;1305,1;26,3;22,4;26,8;25,3;23;21,1;81;77;79;311;3;1,2;
2024/01/02;1900 UTC;0;977,5;978;977,5;584,2;25,4;21,8;26,4;25,3;22,5;21,2;81;77;81;45;2,8;,3;
2024/01/02;2000 UTC;0;977,5;977,6;977,4;368,4;25,2;21,5;25,4;25;22,1;21,4;82;80;80;64;3,8;,7;
