REGIAO:;SE
UF:;MG
ESTACAO:;CONCEICAO DAS ALAGOAS
CODIGO (WMO):;A520
LATITUDE:;-19,98583333
LONGITUDE:;-48,15166666
ALTITUDE:;572,54
DATA DE FUNDACAO:;18/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;947,3;947,4;947,1;;23,2;21,8;23,5;23,2;21,8;21,6;92;89;92;302;0;0;
2024/01/01;0100 UTC;0;948;948;947,3;;23;21,7;23,2;23;21,9;21,7;93;92;93;222;0;0;
2024/01/01;0200 UTC;0;948,4;948,5;948;;22,8;21,7;23,1;22,8;21,8;21,7;93;93;93;178;0;0;
2024/01/01;0300 UTC;0;947,8;948,4;947,8;;22,6;21,4;23;22,6;21,8;21,4;93;93;93;286;0;0;
2024/01/01;0400 UTC;0;947,6;947,9;947,6;;22,6;21,5;22,7;22,6;21,6;21,4;93;93;93;157;0;0;
2024/01/01;0500 UTC;0;947,5;947,6;947,5;;22,9;21,8;22,9;22,5;21,8;21,4;94;93;93;202;0;0;
2024/01/01;0600 UTC;0;947;947,5;947;;22,7;21,7;23;22,6;21,8;21,5;94;93;94;20;0;0;
2024/01/01;0700 UTC;0;946,8;947,1;946,8;;22,8;21,7;22,8;22,6;21,8;21,6;94;94;94;236;0;0;
2024/01/01;0800 UTC;0;946,7;946,9;946,6;;22,5;21,4;22,8;22,5;21,7;21,4;94;93;93;116;0;0;
2024/01/01;0900 UTC;0;947,1;947,1;946,7;2,6;22,3;21,2;22,6;22,3;21,4;21,1;93;93;93;75;0;0;
2024/01/01;1000 UTC;0;947,4;947,4;947;134,8;22,9;21,3;22,9;22,3;21,4;21,2;94;91;91;288;0;0;
2024/01/01;1100 UTC;0;947,8;947,8;947,3;395,8;23,6;21,3;23,6;22,9;21,6;21,1;91;87;87;227;0;0;
2024/01/01;1200 UTC;0;948,4;948,4;947,8;638,4;24,6;22;24,6;23,6;22,2;21,2;88;85;85;196;0;0;
2024/01/01;1300 UTC;0;948,7;948,7;948,4;700;25,3;21,8;25,3;24,6;22,4;21,2;86;79;81;352;0;0;
2024/01/01;1400 UTC;0;948,5;948,8;948,5;879,1;25,4;22,1;26,4;25,3;22,5;21,3;84;75;82;227;0;0;
2024/01/01;1500 UTC;,2;947,9;948,5;947,9;1123,2;25,7;22,7;25,8;25,1;23,4;21,9;87;81;84;239;2,4;0;
2024/01/01;1600 UTC;0;947,1;947,9;947,1;2067,3;27,6;22,8;27,7;25,7;23,4;22,1;85;73;75;207;3,6;0;
2024/01/01;1700 UTC;0;946,2;947,1;946,2;2139,8;27,7;21,6;28,1;27;23,1;21,6;76;69;69;21;4,5;0;
2024/01/01;1800 UTC;,4;946;946,2;946;1224,9;24,5;21,1;28,4;24,5;22,5;20,5;81;66;81;254;4;0;
2024/01/01;1900 UTC;2;945,5;946;945,4;958,5;24,9;21,7;25,1;23,4;22,3;21;91;81;82;265;6,2;0;
2024/01/01;2000 UTC;0;945,4;945,6;945,4;606,4;24,9;21,7;25,2;24,6;22,2;21,2;86;80;82;250;5,6;0;
2024/01/01;2100 UTC;0;945,1;945,4;945;688,9;24,7;21,1;25;24,6;21,7;20,4;83;77;80;20;0;0;
2024/01/01;2200 UTC;0;944,8;945,2;944,7;122;23,9;21,1;24,7;23,9;21,2;20,7;85;80;85;160;1,5;0;
2024/01/01;2300 UTC;0;945,7;945,7;944,8;;23,3;21,6;23,9;23,3;21,7;21,1;90;85;90;277;1,5;0;
2024/01/02;0000 UTC;0;946,8;946,8;945,7;;23;21,7;23,3;23;21,7;21,5;92;90;92;294;2,5;0;
2024/01/02;0100 UTC;0;947,5;947,5;946,8;;22,9;21,7;23;22,6;21,7;21,4;93;92;93;126;0;0;
2024/01/02;0200 UTC;0;947,7;947,8;947,5;;22,8;21,7;22,9;22,7;21,7;21,6;93;93;93;324;0;0;
2024/01/02;0300 UTC;0;947,3;947,7;947,3;;22,7;21,5;22,9;22,7;21,7;21,5;93;92;93;346;0;0;
2024/01/02;0400 UTC;0;946,4;947,3;946,4;;22,4;21,1;22,8;22,4;21,6;21,1;94;92;92;115;0;0;
2024/01/02;0500 UTC;0;946,1;946,4;946;;22,2;21;22,4;22,1;21,1;20,9;93;92;93;159;0;0;
2024/01/02;0600 UTC;0;945,8;946,1;945,8;;21,8;20,9;22,2;21,7;21;20,6;94;93;94;34;0;0;
2024/01/02;0700 UTC;0;945,6;945,8;945,6;;21,9;20,9;22,1;21,8;21;20,9;94;94;94;4;0;0;
2024/01/02;0800 UTC;0;945,9;945,9;945,6;;21,9;20,9;21,9;21,7;21;20,8;95;94;94;261;0;0;
2024/01/02;0900 UTC;0;946,7;946,7;945,9;9,2;22;20,8;22;21,8;20,9;20,7;94;93;93;6;0;0;
2024/01/02;1000 UTC;0;946,6;946,7;946,5;186,7;22,7;21,4;22,7;22;21,4;20,8;93;92;92;231;0;0;
2024/01/02;1100 UTC;0;946,9;946,9;946,6;587,4;24,2;21,3;24,3;22,7;21,7;21,2;92;84;84;297;0;0;
2024/01/02;1200 UTC;0;947;947,2;946,9;805,1;25,4;21,2;25,5;24,2;21,7;20,9;84;77;78;276;0;0;
2024/01/02;1300 UTC;0;946,6;947;946,5;1846;27,7;21,6;27,8;25,3;22,2;20,9;79;67;69;296;0;0;
2024/01/02;1400 UTC;0;946,2;946,6;946,2;2090,2;24,1;20,9;28,5;23,6;22,2;20,1;85;66;82;12;9,2;5,4;
2024/01/02;1500 UTC;0;945,5;946,2;945,4;1773,6;27,2;22,2;27,2;24;22,9;21,1;85;74;74;228;8,2;0;
2024/01/02;1600 UTC;0;945,3;945,6;945,2;1937,7;27,8;21,4;28,1;26,6;22,7;21,1;77;67;68;102;0;0;
