REGIAO:;SE
UF:;MG
ESTACAO:;PATROCINIO
CODIGO (WMO):;A523
LATITUDE:;-18,99666666
LONGITUDE:;-46,98583333
ALTITUDE:;978,11
DATA DE FUNDACAO:;22/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;904,4;904,5;904,3;;19,7;19,3;20,3;19,5;19,5;18,8;97;94;97;56;1,1;0;
2024/01/01;0100 UTC;0;905,4;905,4;904,4;;19,5;19,2;19,8;19,2;19,4;18,8;98;97;98;183;1;0;
2024/01/01;0200 UTC;0;905,8;905,8;905,4;;19,9;19,7;20;19,5;19,8;19,1;99;98;99;211;1,3;,2;
2024/01/01;0300 UTC;0;905,7;905,9;905,7;;19,8;19,6;20;19,5;19,8;19,2;99;98;99;102;1,3;0;
2024/01/01;0400 UTC;0;905,5;905,7;905,4;;19,6;19,5;20;19,6;19,8;19,3;99;99;99;32;1,2;,2;
2024/01/01;0500 UTC;0;904,5;905,5;904,5;;20;20;20;19,6;20;19,4;100;99;100;2;1,2;,1;
2024/01/01;0600 UTC;0;904,4;904,5;904,3;;20,1;20,1;20,1;19,8;20,1;19,7;100;100;100;79;2,1;,5;
2024/01/01;0700 UTC;0;903,8;904,4;903,8;;19,9;19,9;20,1;19,7;20,1;19,7;100;100;100;220;2,8;0;
2024/01/01;0800 UTC;0;904,2;904,2;903,7;;19,8;19,8;19,9;19,6;19,9;19,6;100;100;100;62;1,3;0;
2024/01/01;0900 UTC;0;904,7;904,7;904,2;10,8;20;20;20;19,8;20;19,8;100;100;100;325;,8;0;
2024/01/01;1000 UTC;0;905;905;904,7;218,8;20,8;20,8;20,9;20;20,9;20;100;100;100;12;,5;0;
2024/01/01;1100 UTC;0;905,6;905,6;905;534,5;22,4;21,8;22,4;20,8;21,9;20,9;100;96;96;273;2,3;,2;
