REGIAO:;SE
UF:;MG
ESTACAO:;MONTALVANIA
CODIGO (WMO):;A526
LATITUDE:;-14,40833333
LONGITUDE:;-44,40416666
ALTITUDE:;519,52
DATA DE FUNDACAO:;26/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;53;;;
2024/01/01;0100 UTC;0;954,4;954,4;953,6;;24,4;21,5;24,6;24,4;21,5;20,9;84;80;84;145;2,4;1,3;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;182;;;
2024/01/01;0300 UTC;0;953,9;954,2;953,8;;24;21,9;24,2;24;22,3;21,9;89;88;88;149;1,4;,8;
2024/01/01;0400 UTC;0;953,6;953,9;953,6;;24,1;22,1;24,1;24;22,1;21,8;89;88;89;71;1,3;,4;
2024/01/01;0500 UTC;0;953,2;953,6;953,2;;23,8;21,8;24,1;23,8;22,2;21,8;89;88;88;332;1,7;1,4;
2024/01/01;0600 UTC;0;953;953,2;953;;24;21,4;24,1;23,7;21,8;21,4;89;85;86;268;2,8;1,3;
2024/01/01;0700 UTC;0;952,6;953;952,6;;23,8;21,8;24;23,8;21,8;21,4;89;86;89;241;2,3;,8;
2024/01/01;0800 UTC;0;952,7;952,7;952,6;;23,7;21,9;23,8;23,7;21,9;21,7;89;89;89;174;1,2;,4;
2024/01/01;0900 UTC;0;953,3;953,4;952,7;13,2;23,6;21,8;23,8;23,5;22;21,7;90;89;90;165;1,5;,6;
2024/01/01;1000 UTC;0;954;954;953,3;252,9;24,5;21,9;24,5;23,6;22,1;21,7;90;85;86;113;2,2;1,2;
2024/01/01;1100 UTC;0;954,2;954,2;954;1195,3;26,9;21,8;26,9;24,5;22;21,1;86;74;74;94;2,5;1,4;
2024/01/01;1200 UTC;0;954,2;954,3;954,1;2448,6;28,5;21,2;28,9;26,2;21,8;20,6;74;63;65;0;2,7;,9;
2024/01/01;1300 UTC;0;954,1;954,3;954,1;2838,3;29,9;20,3;30,6;28,5;21,3;19,8;65;55;56;223;3,7;2,1;
2024/01/01;1400 UTC;0;953,1;954,1;953,1;3409,7;32;21,2;32,4;29,6;21,9;20;59;51;53;325;6,2;3,2;
