REGIAO:;SE
UF:;MG
ESTACAO:;GUANHAES
CODIGO (WMO):;A533
LATITUDE:;-18,78694444
LONGITUDE:;-42,94305555
ALTITUDE:;852,68
DATA DE FUNDACAO:;02/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;917,9;918,1;917,5;;23,3;20,3;23,5;23,3;20,5;20,2;84;83;83;244;6,5;3,8;
2024/01/01;0100 UTC;0;918,5;918,5;917,8;;22,6;20,1;23,2;22,5;20,2;20;86;82;86;334;6,1;2,9;
2024/01/01;0200 UTC;0;918,9;919;918,5;;22,4;19,8;22,6;22,4;20,1;19,8;86;85;85;342;8;4;
2024/01/01;0300 UTC;0;918,6;919;918,6;;21,9;19,8;22,4;21,9;19,9;19,8;88;85;88;277;6,1;2,4;
2024/01/01;0400 UTC;0;918,3;918,7;918,2;;21,6;19,8;21,9;21,6;19,8;19,7;89;88;89;302;4,7;1,2;
2024/01/01;0500 UTC;13,6;918,1;918,3;918,1;;20;19,1;21,7;20;20;19,1;95;89;95;157;5,5;3;
2024/01/01;0600 UTC;3,6;917,7;918,1;917,7;;20,3;19,5;20,3;19,9;19,5;19,1;96;95;96;304;4,9;2,5;
2024/01/01;0700 UTC;0;917,6;917,8;917,6;0;20,4;19,5;20,4;20,2;19,6;19,5;96;95;95;193;6,5;2,4;
2024/01/01;0800 UTC;0;917,7;917,7;917,5;;20,4;19,5;20,4;20,3;19,5;19,4;95;95;95;69;5,3;1,7;
2024/01/01;0900 UTC;2,8;918,1;918,1;917,7;2,2;20,3;19,5;20,4;20,2;19,5;19,3;95;95;95;67;6;2,3;
2024/01/01;1000 UTC;0;918,5;918,5;918,1;83,1;20,4;19,6;20,4;20,3;19,6;19,4;95;95;95;28;4,8;2,2;
2024/01/01;1100 UTC;,2;918,9;918,9;918,5;120,6;20,3;19,5;20,5;20,3;19,7;19,5;95;95;95;285;5,4;3;
2024/01/01;1200 UTC;1,4;919,1;919,1;918,8;275,8;20,4;19,6;20,4;20,3;19,6;19,4;95;95;95;287;5,7;2,4;
2024/01/01;1300 UTC;1;919,2;919,2;919,1;552,7;21,1;20,2;21,1;20,4;20,2;19,6;95;94;95;335;5,8;2;
2024/01/01;1400 UTC;,6;919,1;919,3;919,1;689;21,1;20,1;21,4;21;20,5;20,1;95;94;94;7;4,4;1,6;
2024/01/01;1500 UTC;,2;918,7;919,1;918,7;754,8;21,7;20,5;21,7;21;20,6;20,1;94;93;93;50;4,8;2;
2024/01/01;1600 UTC;,4;917,8;918,7;917,8;587,3;20,5;19,5;21,9;20,5;20,8;19,5;94;91;93;49;5,5;3,5;
2024/01/01;1700 UTC;,8;917,4;917,8;917,4;554,9;20,8;19,8;20,9;20,5;19,8;19,4;94;93;94;90;5,8;2,2;
2024/01/01;1800 UTC;,2;916,8;917,4;916,7;592,3;21;19,8;21,4;20,8;20,3;19,7;94;93;93;244;3,5;1,5;
2024/01/01;1900 UTC;,2;917;917;916,6;347,4;20,7;19,6;21;20,6;19,8;19,5;94;93;93;191;4,9;2,5;
2024/01/01;2000 UTC;,2;916,9;917;916,8;229,9;20,4;19,3;20,7;20,4;19,7;19,2;94;93;93;226;5,9;3;
2024/01/01;2100 UTC;0;916,9;917;916,9;115,5;20,1;19,1;20,4;20,1;19,3;19,1;94;93;94;119;5,1;2,7;
2024/01/01;2200 UTC;,4;917,6;917,6;916,9;12,1;19,8;18,9;20,1;19,8;19,1;18,8;95;93;95;227;4,5;2,7;
2024/01/01;2300 UTC;0;918,1;918,2;917,6;;19,8;19;19,8;19,7;19;18,8;95;95;95;229;4,5;1,5;
2024/01/02;0000 UTC;,4;918,5;918,5;918,2;;19,8;18,7;19,9;19,8;19;18,7;95;94;94;38;4,7;2,1;
2024/01/02;0100 UTC;,2;918,9;918,9;918,5;;19,8;18,8;19,8;19,7;18,8;18,7;94;94;94;354;4,2;1,8;
2024/01/02;0200 UTC;0;919;919,1;918,9;;19,7;18,8;19,8;19,7;18,8;18,7;94;94;94;113;6,2;1,4;
2024/01/02;0300 UTC;0;918,4;919;918,4;;19,7;18,8;19,8;19,7;18,9;18,8;94;94;94;31;5;2,2;
2024/01/02;0400 UTC;,2;917,8;918,4;917,8;;19,7;18,7;19,8;19,6;18,8;18,6;94;93;94;136;5,8;2,4;
2024/01/02;0500 UTC;0;917,6;917,8;917,6;;19,6;18,7;19,7;19,6;18,7;18,6;94;94;94;165;5,1;1,4;
2024/01/02;0600 UTC;0;917,2;917,6;917,2;;19,6;18,7;19,6;19,6;18,7;18,7;95;94;95;136;5,2;2,6;
