REGIAO:;SE
UF:;MG
ESTACAO:;DORES DO INDAIA
CODIGO (WMO):;A536
LATITUDE:;-19,48194443
LONGITUDE:;-45,59388888
ALTITUDE:;721,09
DATA DE FUNDACAO:;01/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;931,5;931,5;930,8;;22,2;20,7;22,2;21,9;20,7;20,5;92;91;91;171;6,7;,5;
2024/01/01;0100 UTC;0;932,3;932,4;931,5;;21,8;20,7;22,2;21,7;20,9;20,7;94;91;93;173;5,5;2,9;
2024/01/01;0200 UTC;,2;932,5;932,5;932,3;;21,6;20,4;21,8;21,6;20,7;20,3;93;92;93;332;4,8;2,1;
2024/01/01;0300 UTC;,8;932,3;932,6;932,3;;21,2;20,3;21,6;21,2;20,4;20,3;95;93;95;252;4,3;2,4;
2024/01/01;0400 UTC;,2;932,1;932,3;932,1;;21,1;20,2;21,2;21;20,3;20,1;95;95;95;103;3,5;0;
2024/01/01;0500 UTC;0;931,5;932,1;931,5;;21,4;20,5;21,4;21,1;20,5;20,3;95;95;95;173;2,3;0;
2024/01/01;0600 UTC;0;931;931,5;930,9;;21,4;20,4;21,5;21,3;20,6;20,4;95;94;94;75;1,6;0;
2024/01/01;0700 UTC;0;930,6;931;930,6;;21,1;20;21,4;21;20,5;20;94;94;94;210;0;0;
2024/01/01;0800 UTC;0;931,4;931,4;930,6;;20,9;19,9;21,1;20,9;20;19,8;94;94;94;26;0;0;
2024/01/01;0900 UTC;0;931,8;931,8;931,4;6,7;20,8;19,8;20,9;20,8;19,9;19,7;94;93;94;194;3,2;1,1;
2024/01/01;1000 UTC;0;932,2;932,2;931,8;149,4;21,3;19,9;21,3;20,8;20;19,8;94;92;92;129;2,6;0;
2024/01/01;1100 UTC;0;932,4;932,4;932,2;303;21,7;20;21,7;21,3;20,2;19,8;92;90;90;352;4;1,8;
2024/01/01;1200 UTC;0;932,6;932,6;932,4;692,5;22,8;20,4;22,9;21,6;20,8;20;91;86;87;346;4,9;3,2;
2024/01/01;1300 UTC;0;932,8;932,8;932,6;586;23,2;20,7;23,2;22,5;20,7;20,1;88;85;86;348;5,2;2,1;
2024/01/01;1400 UTC;0;932,4;932,8;932,4;1179,7;24,4;20,7;24,6;23,1;21,1;20,1;86;77;80;77;3,9;1,7;
2024/01/01;1500 UTC;,6;931,7;932,4;931,7;990,3;23,7;21;24,8;23,5;21,4;20;85;77;85;313;3,3;,8;
2024/01/01;1600 UTC;,6;930,9;931,7;930,9;889,4;24,3;22,3;24,3;23,3;22,3;21;91;85;88;280;2,9;1,9;
2024/01/01;1700 UTC;0;930;930,9;929,9;1856,3;25,7;21,1;26,4;24,3;22,5;20,5;88;73;76;325;3,2;1,5;
2024/01/01;1800 UTC;0;930,1;930,1;929,8;638,2;24,7;21,1;25,7;24,5;21,4;20,7;81;76;80;290;5,6;1,2;
2024/01/01;1900 UTC;5,4;929,9;930,2;929,9;90,6;20,7;19,8;24,7;20,5;21,3;19,4;95;80;95;44;9,1;4,7;
2024/01/01;2000 UTC;4;929,4;929,9;929,4;100,2;21,1;20,2;21,1;20,7;20,3;19,9;95;95;95;318;7,5;1,1;
2024/01/01;2100 UTC;,8;929,9;929,9;929,4;100,7;21,1;20,3;21,2;21;20,4;20,1;95;95;95;342;3,3;2,4;
2024/01/01;2200 UTC;,2;930,5;930,5;929,9;29,3;21;20,2;21,2;21;20,4;20,2;95;95;95;158;3,3;2,3;
2024/01/01;2300 UTC;,4;930,7;930,7;930,5;;21,2;20,5;21,2;21;20,5;20,2;96;95;96;242;3,5;2,1;
2024/01/02;0000 UTC;0;931,1;931,1;930,6;;21,2;20,4;21,2;21,2;20,5;20,3;96;95;95;228;5,7;3,1;
2024/01/02;0100 UTC;0;932;932;931,1;;21;20,1;21,2;21;20,4;20,1;95;95;95;272;5,3;2,5;
2024/01/02;0200 UTC;,2;931,9;932,1;931,9;;20,7;19,8;21;20,7;20,1;19,8;95;94;95;133;4,8;2,8;
2024/01/02;0300 UTC;,2;931,8;931,9;931,7;;20,5;19,6;20,7;20,5;19,9;19,6;95;94;94;248;3,8;2,1;
2024/01/02;0400 UTC;,2;931,1;931,8;931,1;;20,4;19,5;20,5;20,4;19,6;19,5;95;94;94;335;3,5;2,5;
2024/01/02;0500 UTC;0;930,7;931,1;930,7;;20,3;19,5;20,4;20,3;19,5;19,4;95;94;95;37;3,5;0;
2024/01/02;0600 UTC;,2;930,3;930,7;930,3;;20,2;19,4;20,4;20,2;19,5;19,3;95;95;95;267;2;,8;
2024/01/02;0700 UTC;0;930,3;930,4;930,2;;20,2;19,4;20,3;20,1;19,5;19,4;95;95;95;315;1,7;0;
2024/01/02;0800 UTC;0;930,8;930,8;930,3;;20,3;19,4;20,3;20,2;19,4;19,3;95;94;94;32;,6;0;
2024/01/02;0900 UTC;0;931,2;931,2;930,8;6,3;20,4;19,4;20,4;20,2;19,5;19,3;95;94;94;151;0;0;
2024/01/02;1000 UTC;0;931,3;931,3;931,1;280,3;21,1;19,9;21,1;20,4;20;19,4;95;93;93;125;2,3;1,3;
2024/01/02;1100 UTC;0;931,6;931,6;931,3;632,7;21,5;19,8;21,6;21,1;20,1;19,5;93;89;90;126;4,4;2,2;
2024/01/02;1200 UTC;0;931,8;931,8;931,5;615,4;22,2;20;22,3;21,5;20,3;19,6;91;86;87;70;3,3;2,1;
2024/01/02;1300 UTC;0;931,6;931,9;931,6;1217,4;23,6;20,3;23,8;22,2;21,1;19,7;89;81;82;336;4,4;2,5;
