REGIAO:;SE
UF:;MG
ESTACAO:;CURVELO
CODIGO (WMO):;A538
LATITUDE:;-18,74777777
LONGITUDE:;-44,45388888
ALTITUDE:;669,48
DATA DE FUNDACAO:;18/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;937,4;937,4;937;;24,7;18,5;25,8;24,7;20;18,4;71;66;69;39;4,8;3,1;
2024/01/01;0100 UTC;0;937,6;937,6;937,3;;24,2;19;24,7;24,1;19;18,6;73;69;73;28;4,7;,7;
2024/01/01;0200 UTC;0;938,3;938,4;937,5;;23,6;19,3;24,2;23,6;19,3;18,9;77;72;77;225;2,6;1,7;
2024/01/01;0300 UTC;0;938,3;938,5;938,3;;23,4;19,4;23,6;23,4;19,4;19,2;78;77;78;318;2,8;1,4;
2024/01/01;0400 UTC;1;938,1;938,4;938;;22,5;20,2;23,5;22,4;20,3;19,4;87;78;87;299;5,2;1,8;
2024/01/01;0500 UTC;2,6;937,6;938,2;937,6;;22;20,3;22,8;22;20,5;20,1;90;86;90;224;4;2,6;
2024/01/01;0600 UTC;3,2;937,1;937,5;937,1;;21,8;20,2;22,1;21,8;20,6;20,2;91;90;91;324;4,8;1,8;
2024/01/01;0700 UTC;0;937,1;937,2;937;;21,7;20,3;21,8;21,7;20,4;20,2;92;91;91;248;3,1;,7;
2024/01/01;0800 UTC;0;937,6;937,6;937,1;;21,9;20,5;22;21,7;20,6;20,3;92;91;92;232;2,8;1,5;
2024/01/01;0900 UTC;0;937,9;937,9;937,6;3,9;21,9;20,5;22,1;21,7;20,6;20,3;92;91;92;58;3,4;2,1;
2024/01/01;1000 UTC;0;938,3;938,3;937,9;57,8;21,7;20,1;21,9;21,7;20,5;20,1;92;91;91;303;3,5;1,8;
2024/01/01;1100 UTC;2;938,5;938,5;938,3;287;21,9;20,5;22;21,5;20,6;20;92;91;91;98;3,1;1,4;
2024/01/01;1200 UTC;0;938,9;938,9;938,4;1033,8;23,1;20,5;23,2;21,9;21,1;20,4;92;85;85;244;2,9;1,6;
2024/01/01;1300 UTC;0;938,8;938,9;938,8;1211,3;23,6;20,6;23,8;23,1;20,9;20,3;86;82;83;26;4;2,7;
2024/01/01;1400 UTC;0;938,4;938,8;938,4;2362,6;25,3;21,1;25,3;23,5;21,3;20,2;85;76;77;102;4,3;2,2;
2024/01/01;1500 UTC;,2;937,7;938,4;937,7;2303,2;25,9;20,4;26,3;25,4;21,4;20,2;77;71;72;186;4,7;2,7;
2024/01/01;1600 UTC;0;936,6;937,7;936,6;3356,8;26,8;20,8;27,6;25,9;21,5;20,2;74;67;70;11;6,5;4;
2024/01/01;1700 UTC;29,6;936,8;937,4;936,6;489,8;20,1;18,9;26,9;20,1;21,1;17,7;93;68;93;88;13,1;5;
2024/01/01;1800 UTC;8;936,8;937;936,8;69,8;21;19,9;21;20,1;20;19;94;93;94;181;9,1;1,4;
2024/01/01;1900 UTC;3,8;936,6;936,8;936,4;113,4;21,1;20,1;21,2;21;20,1;19,9;94;94;94;291;2,5;1,6;
2024/01/01;2000 UTC;2,4;936,6;936,7;936,6;149,7;21,1;20,1;21,3;20,9;20,3;19,9;94;94;94;232;4,5;2,8;
2024/01/01;2100 UTC;,6;936,6;936,6;936,5;89,4;21,4;20,3;21,4;21;20,3;20;94;93;93;41;4,9;2,6;
2024/01/01;2200 UTC;,2;936,7;936,7;936,5;18;21,2;19,9;21,5;21,2;20,4;19,9;93;93;93;172;4,9;1,8;
2024/01/01;2300 UTC;0;937,3;937,3;936,7;;21,2;19,8;21,2;21;19,9;19,8;93;92;92;272;3,8;1,7;
2024/01/02;0000 UTC;0;937,8;937,8;937,3;;21,2;19,7;21,4;21,2;19,9;19,7;92;91;91;298;2,9;1;
2024/01/02;0100 UTC;0;938,1;938,1;937,7;;21,1;19,7;21,3;21;19,8;19,6;92;91;92;54;2,9;1,5;
2024/01/02;0200 UTC;0;938;938,3;937,9;;21;19,7;21,1;21;19,8;19,6;92;92;92;132;2,8;1,3;
2024/01/02;0300 UTC;0;937,7;938;937,7;;21;19,7;21,1;21;19,8;19,7;92;92;92;89;2;,9;
2024/01/02;0400 UTC;0;937,2;937,7;937,2;;21,1;19,7;21,1;21;19,8;19,6;92;92;92;120;2;,6;
2024/01/02;0500 UTC;0;936,9;937,2;936,9;;21,1;19,4;21,2;21,1;19,7;19,4;92;90;90;265;2,1;,9;
