REGIAO:;SE
UF:;MG
ESTACAO:;MANTENA
CODIGO (WMO):;A540
LATITUDE:;-18,78062
LONGITUDE:;-40,986505
ALTITUDE:;254,91
DATA DE FUNDACAO:;01/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;983,9;983,9;983,3;;24,8;20,7;25,2;24,8;20,7;20,4;78;75;78;25;3,4;,2;
2024/01/01;0100 UTC;0;984,4;984,4;983,9;;25;19,7;25;24,5;21;19,7;81;73;73;230;4,3;1,2;
2024/01/01;0200 UTC;0;984,4;984,4;984,2;;24,2;20,7;25;24,2;20,7;19,8;80;73;80;18;4,3;,5;
2024/01/01;0300 UTC;0;984;984,4;984;;23,8;20,2;24,3;23,8;20,7;20,2;81;80;80;10;2,9;,4;
2024/01/01;0400 UTC;0;983,9;984;983,8;;23,6;20;23,8;23,5;20,2;19,8;81;79;80;7;2,1;,3;
2024/01/01;0500 UTC;0;983,7;983,9;983,7;;23,6;20;23,7;23,5;20,2;19,8;81;79;80;122;2,1;,4;
2024/01/01;0600 UTC;0;983,1;983,7;983;;23,4;20,1;23,6;23,3;20,2;19,9;82;80;82;142;2,1;,2;
2024/01/01;0700 UTC;0;983;983,2;982,9;;23,3;20,2;23,4;23,2;20,3;20;83;82;83;73;1,3;0;
2024/01/01;0800 UTC;0;983,4;983,4;982,9;;23,3;20,5;23,3;23,2;20,5;20,1;85;82;85;277;,5;0;
2024/01/01;0900 UTC;0;983,7;983,7;983,4;31,1;23,5;20,3;23,5;23,2;20,6;20,3;85;82;82;284;,5;0;
2024/01/01;1000 UTC;0;984,2;984,2;983,7;132;23,7;20,7;23,7;23,5;20,7;20,3;83;82;83;280;1,5;0;
2024/01/01;1100 UTC;0;984,4;984,4;984,1;672,6;24,8;20,2;25,2;23,7;20,9;20;83;74;76;138;2,2;1;
2024/01/01;1200 UTC;0;984,6;984,7;984,4;556,9;25,1;20,1;25,2;24,5;20,6;19,7;78;72;74;128;3;,5;
2024/01/01;1300 UTC;0;984,6;984,6;984,5;707,7;25,6;19,6;25,7;25;20,3;19,3;75;69;69;211;2,2;,2;
2024/01/01;1400 UTC;0;984,2;984,6;984,2;965,7;26,4;19,4;26,6;25,5;20,4;18,9;71;64;65;297;2,4;,1;
2024/01/01;1500 UTC;0;983,5;984,3;983,5;2031,8;27,5;19,5;27,8;26,1;20,5;18,8;68;61;62;24;2,8;,9;
2024/01/01;1600 UTC;0;982,9;983,5;982,9;1769,8;27,1;20,3;29;27,1;21,5;19,5;67;58;66;20;3,9;1,2;
2024/01/01;1700 UTC;0;982,3;982,9;982,3;273,9;25,9;20,3;27,1;25,8;20,5;19,8;72;66;71;181;4;,5;
2024/01/01;1800 UTC;0;981,7;982,3;981,7;804,7;26,8;20,6;26,9;25,9;20,8;20;72;66;69;282;4,8;1,1;
2024/01/01;1900 UTC;0;981,6;981,7;981,5;779,2;26,8;20,5;27,1;26,7;20,7;20;69;66;68;299;4,8;1,1;
2024/01/01;2000 UTC;0;981,7;981,7;981,6;339,6;26;19,8;26,9;26;20,5;19,8;69;67;69;78;5,5;1,6;
2024/01/01;2100 UTC;0;982,1;982,1;981,6;131,2;25,4;19,9;26;25,4;20,1;19,7;72;69;72;302;4,4;,6;
2024/01/01;2200 UTC;0;982,6;982,6;982,1;7,8;25,1;19,9;25,5;25,1;20;19,7;73;71;73;92;4,3;1;
2024/01/01;2300 UTC;0;983,2;983,2;982,6;;24,9;19,9;25,2;24,9;20,1;19,8;75;72;74;279;2,7;,3;
2024/01/02;0000 UTC;0;983,9;983,9;983,2;;24,6;20,1;24,9;24,6;20,1;19,9;76;74;76;45;2,6;,5;
2024/01/02;0100 UTC;0;984,4;984,4;983,9;;24,5;20,2;24,8;24,5;20,3;20;77;75;77;340;2,7;,5;
2024/01/02;0200 UTC;0;984,2;984,5;984,2;;24,2;20,3;24,5;24,2;20,6;20,2;80;77;79;295;2,5;,4;
2024/01/02;0300 UTC;0;983,5;984,2;983,5;;24,1;20,1;24,3;24,1;20,4;19,9;79;77;79;273;3,2;,5;
2024/01/02;0400 UTC;0;982,9;983,5;982,9;;23,5;20,3;24,1;23,5;20,3;19,9;82;78;82;169;2,3;,4;
2024/01/02;0500 UTC;0;982,7;982,9;982,7;;23,1;20,6;23,5;23,1;20,6;20,3;86;82;85;164;2,8;,2;
2024/01/02;0600 UTC;0;982,4;982,7;982,4;;22,9;20,7;23,2;22,9;20,7;20,5;87;85;87;315;1,6;0;
2024/01/02;0700 UTC;0;982,4;982,4;982,4;;23;20,9;23;22,9;20,9;20,7;88;87;88;329;,3;0;
2024/01/02;0800 UTC;0;982,3;982,4;982,3;;22,7;20,6;23;22,7;21;20,5;88;87;88;9;1,7;,3;
2024/01/02;0900 UTC;0;982,8;982,8;982,3;52,3;22,9;20,8;22,9;22,7;20,8;20,6;88;87;88;134;1,8;,6;
2024/01/02;1000 UTC;0;983,1;983,1;982,8;205;23,2;21;23,2;22,8;21;20,7;88;87;87;171;1,8;,1;
2024/01/02;1100 UTC;0;983,6;983,6;983;558,3;23,8;21,1;23,8;23,1;21,2;20,7;87;84;85;179;1,6;,3;
2024/01/02;1200 UTC;0;983,7;983,7;983,6;791,8;24,6;21;24,7;23,7;21,5;20,8;85;80;80;84;2,1;1,1;
2024/01/02;1300 UTC;0;983,4;983,7;983,4;1484,9;25,6;21,1;25,9;24,6;21,7;20,7;81;74;76;29;3,3;1,1;
2024/01/02;1400 UTC;0;982,9;983,4;982,9;1770,1;26,6;20,6;27,2;25,5;21,5;20,3;77;68;70;310;3;1,1;
2024/01/02;1500 UTC;0;982,2;982,9;982,2;2193,5;27,8;20,8;29,2;26,5;23,2;20,1;74;63;66;226;4;1,4;
2024/01/02;1600 UTC;0;981,3;982,2;981,3;1718,4;28,5;21,6;28,5;27,2;21,6;20,6;70;64;66;63;4;1;
2024/01/02;1700 UTC;0;980,5;981,3;980,5;2361;29,4;21,7;30,1;28,5;23;20,8;69;61;64;328;4;1,3;
2024/01/02;1800 UTC;0;980;980,5;980;1657,6;29;21,1;30;29;21,8;20,4;64;59;62;9;3,9;1,1;
2024/01/02;1900 UTC;0;979,6;980;979,4;1479,9;29,4;21,5;30;29;22,1;20,5;64;59;63;209;4,2;1;
2024/01/02;2000 UTC;0;979,7;979,8;979,5;756,8;28,3;21,4;29,4;28,3;21,9;21;66;62;66;225;4,3;1,1;
2024/01/02;2100 UTC;6,8;981,3;981,3;979,7;112,2;23,9;22,2;28,3;23,9;22,2;21;90;65;90;304;8,7;1,3;
2024/01/02;2200 UTC;3,2;982,4;982,5;981,3;3,1;23,1;21,7;23,9;23;22,1;21,5;92;90;92;11;4,9;,4;
2024/01/02;2300 UTC;1,6;982,8;982,8;982,4;;23,2;21,9;23,3;22,9;22;21,5;93;92;92;1;2,4;,1;
2024/01/03;0000 UTC;1,8;983,2;983,2;982,8;;23,4;22,2;23,5;23,2;22,2;21,9;93;92;93;78;1,5;,1;
2024/01/03;0100 UTC;,6;983,5;983,5;983,2;;23,5;22;23,6;23,4;22,2;22;93;91;92;182;3,1;,4;
2024/01/03;0200 UTC;,4;983,4;983,5;983,4;;23,2;21,7;23,5;23,2;22,1;21,7;92;90;91;78;5,4;1,3;
2024/01/03;0300 UTC;0;982,9;983,5;982,9;;22;20;23,2;22;21,7;20;91;88;89;269;4,1;,4;
2024/01/03;0400 UTC;,4;982,5;982,9;982,5;;22,1;19,8;22,1;21,9;20;19,4;89;85;87;113;1,8;0;
2024/01/03;0500 UTC;0;982,2;982,5;982,2;;22;19,9;22,1;22;20,1;19,7;89;86;88;208;,8;0;
2024/01/03;0600 UTC;,2;982;982,2;981,9;;22;20,3;22;21,9;20,4;19,9;90;88;90;95;,6;0;
2024/01/03;0700 UTC;0;982,1;982,1;981,9;;22;20,5;22,1;21,9;20,5;20,2;91;90;91;140;0;0;
2024/01/03;0800 UTC;0;982,5;982,5;982,1;;22,1;20,7;22,1;22;20,7;20,4;92;91;92;292;0;0;
2024/01/03;0900 UTC;0;982,9;982,9;982,4;64,1;22,3;20,7;22,4;22;20,8;20,5;92;91;91;277;,7;0;
2024/01/03;1000 UTC;0;983,5;983,5;982,9;201,1;23,2;21,4;23,2;22,3;21,5;20,8;91;90;90;14;,9;0;
2024/01/03;1100 UTC;0;984;984;983,5;611,4;24,5;21,8;24,6;23,2;22;21,5;90;84;85;171;2;,1;
2024/01/03;1200 UTC;0;983,9;984;983,9;952,4;25,7;21,9;25,9;24,4;22,4;21,4;86;79;79;296;2,8;,6;
2024/01/03;1300 UTC;0;984,1;984,1;983,9;1797,3;27,3;22,4;27,3;25,3;22,5;21,1;82;72;75;196;2,8;,7;
2024/01/03;1400 UTC;0;983,8;984,1;983,8;2725,1;27,8;20,9;28,5;27,3;23;20;75;62;66;339;4,6;1,4;
2024/01/03;1500 UTC;,2;983,1;983,8;983,1;1197,6;27,6;21,6;28,4;27,5;22,1;20,2;70;64;70;148;4,4;,4;
2024/01/03;1600 UTC;0;982;983,1;982;2313,5;29,3;20,3;30,3;27,5;22,3;19,6;72;55;58;164;3,4;1,3;
2024/01/03;1700 UTC;0;981,2;982;981,2;1894,9;29,4;20,1;30;29,1;21,7;19,9;62;55;57;2;4,1;2;
2024/01/03;1800 UTC;0;980,6;981,2;980,6;2202,9;30,3;20,1;30,9;29,4;22,2;19,9;62;53;55;25;4,5;1,5;
2024/01/03;1900 UTC;0;980,7;980,9;980,6;409,9;29,1;20,2;30,3;29;20,9;19,7;60;54;59;208;4,5;,6;
2024/01/03;2000 UTC;0;980,7;980,8;980,6;398,8;29,1;20,6;29,2;29;20,9;20,4;62;58;60;308;2,6;,3;
2024/01/03;2100 UTC;0;981;981;980,7;119,8;28;21,6;29,1;28;21,6;20,2;68;59;68;242;1,3;0;
2024/01/03;2200 UTC;0;981,7;981,7;981;;26,3;22;28,1;26,2;22,5;21,5;80;68;77;237;2,2;1;
