REGIAO:;SE
UF:;MG
ESTACAO:;CAPELINHA
CODIGO (WMO):;A541
LATITUDE:;-17,70555555
LONGITUDE:;-42,38916666
ALTITUDE:;932,06
DATA DE FUNDACAO:;31/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;,4;910,2;910,2;909,7;;20,5;19,5;20,5;20,4;19,6;19,5;94;94;94;139;4;2;
2024/01/01;0100 UTC;0;910,5;910,5;910;;20,4;19,4;20,5;20,4;19,6;19,4;94;94;94;37;4,7;2,6;
2024/01/01;0200 UTC;0;910,8;910,8;910,5;;20,3;19,1;20,5;20,3;19,5;19,1;94;93;93;48;4,7;2;
2024/01/01;0300 UTC;0;910,6;910,9;910,6;;20,2;19,1;20,4;20,1;19,1;19;94;93;94;237;4,7;2;
2024/01/01;0400 UTC;0;910,2;910,6;910,2;;20,4;19,2;20,4;20,1;19,3;19,1;94;93;93;46;5;2,6;
2024/01/01;0500 UTC;0;909,7;910,3;909,7;;20,4;19,3;20,4;20,3;19,3;19,1;93;93;93;240;5,9;3,2;
2024/01/01;0600 UTC;0;909,3;909,7;909,3;;20,3;19,2;20,4;20,3;19,3;19,2;94;93;93;180;5,6;3,1;
2024/01/01;0700 UTC;0;909,4;909,4;909,1;0;20,3;19,1;20,4;20,2;19,2;19,1;94;93;93;134;7;2,6;
2024/01/01;0800 UTC;0;909,7;909,7;909,4;,7;20;18,9;20,3;20;19,1;18,9;93;92;93;320;6;2,4;
2024/01/01;0900 UTC;0;910;910;909,6;33,4;19,9;18,7;20;19,7;18,9;18,7;94;93;93;97;7,2;2,1;
2024/01/01;1000 UTC;0;910,7;910,7;910;143,1;19,8;18,6;19,9;19,7;18,6;18,3;93;92;92;200;7,2;1,6;
2024/01/01;1100 UTC;0;911,1;911,2;910,7;519,6;20,6;19;20,7;19,8;19,1;18,6;93;89;91;235;4,8;2,7;
