REGIAO:;SE
UF:;MG
ESTACAO:;PIRAPORA
CODIGO (WMO):;A545
LATITUDE:;-17,258064
LONGITUDE:;-44,835556
ALTITUDE:;505,32
DATA DE FUNDACAO:;04/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;281;;;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;235;;;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;300;;;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;311;;;
2024/01/01;0400 UTC;0;955,4;956,1;955,4;;22,9;21,1;23,3;22,9;21,4;21,1;90;88;90;304;1,6;,4;
2024/01/01;0500 UTC;0;955,1;955,4;955,1;;22,7;21,2;22,9;22,6;21,2;20,9;91;90;91;124;1,4;,7;
2024/01/01;0600 UTC;0;954,4;955,1;954,4;;22,6;21,2;22,7;22,5;21,2;21;91;91;91;314;1,2;,2;
2024/01/01;0700 UTC;0;954,4;954,4;954,1;;22,6;21,1;22,7;22,4;21,2;20,9;92;91;91;271;1;,5;
2024/01/01;0800 UTC;0;954,7;954,7;954,4;;22,6;21,1;22,6;22,4;21,1;20,9;91;91;91;356;1,4;,4;
2024/01/01;0900 UTC;0;955,1;955,1;954,7;36;22,6;21,2;22,7;22,2;21,2;20,7;92;91;91;249;,9;,2;
2024/01/01;1000 UTC;0;955,7;955,7;955,1;642,8;25;21,5;25;22,6;21,8;21;91;81;81;142;1,2;,4;
2024/01/01;1100 UTC;0;956,1;956,1;955,7;1601,4;27,1;21,1;27,1;24,9;21,7;20,6;81;70;70;51;2,1;,7;
2024/01/01;1200 UTC;0;956,1;956,1;956;2384;28,5;20,8;28,7;27,1;21,6;20,2;70;62;63;267;3,5;1,4;
2024/01/01;1300 UTC;0;955,7;956,1;955,7;3234,1;29,6;20;30;28,3;21,4;19,5;65;54;56;199;4,9;1,8;
2024/01/01;1400 UTC;0;955,1;955,7;955;3168,9;30;18,7;31,9;29,6;20,6;18,7;58;48;51;311;8,4;2,8;
2024/01/01;1500 UTC;2,8;955,6;955,7;954,9;1081,3;24,3;21,5;29,9;23,9;21,5;18,7;86;51;84;323;8,8;1,7;
2024/01/01;1600 UTC;4;954,6;955,9;954,6;264,7;22,8;21,1;24,4;22,5;21,5;20,3;90;83;90;344;7,9;1,7;
2024/01/01;1700 UTC;2,2;953,6;954,6;953,6;735,6;24;22;24,1;22,8;22,3;21;91;88;88;258;3,8;1,5;
2024/01/01;1800 UTC;0;953,1;953,6;953,1;2172;27,1;22,4;27,1;24,1;23;21,6;89;74;76;248;5;2,8;
2024/01/01;1900 UTC;0;952,7;953,1;952,7;2052,6;27,2;21,3;27,9;26,8;22,5;21;76;68;70;7;5,4;2,3;
2024/01/01;2000 UTC;0;952,4;952,7;952,4;865,3;27,5;20,9;28,2;27,1;21,8;20,9;73;66;67;10;4,6;2,4;
2024/01/01;2100 UTC;0;953,2;953,2;952,4;403,4;26,8;21;27,6;26,8;21,4;20,8;71;67;71;337;4,3;2;
2024/01/01;2200 UTC;0;953,9;953,9;953,2;15,3;25,4;21,6;26,8;25,4;21,6;20,9;80;71;80;69;3,9;1,4;
2024/01/01;2300 UTC;,2;954;954;953,7;;22,6;20,3;25,4;22,6;21,5;19,1;87;72;87;175;7,1;1,1;
2024/01/02;0000 UTC;;;;;;;;;;;;;;;107;;;
2024/01/02;0100 UTC;,4;955,3;955,3;954,7;;22,8;21,1;22,8;22,7;21,1;20,7;90;88;90;341;1,5;,8;
2024/01/02;0200 UTC;,2;955,5;955,5;955,3;;22,9;21,2;23,1;22,8;21,5;21;91;89;90;104;1,9;1;
2024/01/02;0300 UTC;0;954,8;955,5;954,8;;22,9;21,5;23;22,8;21,5;21,2;92;90;91;327;1,9;,2;
2024/01/02;0400 UTC;0;954,5;954,8;954,5;;22,9;21,3;23,1;22,9;21,6;21,3;92;91;91;112;1,5;,9;
2024/01/02;0500 UTC;,6;953,9;954,5;953,9;;23,1;21,2;23,2;22,9;21,5;21,2;91;89;89;204;2,4;1;
2024/01/02;0600 UTC;,2;953,6;953,9;953,5;;22,9;21;23,2;22,9;21,2;20,9;89;87;89;281;2,3;,7;
2024/01/02;0700 UTC;0;953,8;953,8;953,5;;22,9;20,9;23,1;22,8;21;20,7;89;87;89;162;2,5;,8;
2024/01/02;0800 UTC;0;954;954;953,7;;22,9;21,4;22,9;22,7;21,4;20,9;91;89;91;44;1,5;,6;
2024/01/02;0900 UTC;0;954,6;954,6;954;25,9;22,9;21,2;22,9;22,8;21,4;21,1;91;90;90;106;1,4;,6;
2024/01/02;1000 UTC;0;955;955;954,6;379,8;24;21,3;24;22,9;21,9;21,3;91;85;85;2;1,5;,7;
2024/01/02;1100 UTC;0;955,5;955,5;955;828,1;24,9;21,3;24,9;24;21,8;20,9;86;79;81;80;3,1;1,5;
2024/01/02;1200 UTC;0;955,5;955,7;955,5;1249,4;25,6;20,8;25,9;24,7;21,7;20,8;83;74;75;102;3,5;1,5;
2024/01/02;1300 UTC;0;955,2;955,5;955,2;1852,6;26,6;20,4;27;25,6;21,9;20,4;78;68;69;158;4,9;2,1;
2024/01/02;1400 UTC;0;954,7;955,2;954,7;1612,3;27,3;21,3;27,7;26,4;21,5;20,6;73;67;70;331;7,1;2,9;
2024/01/02;1500 UTC;0;953,7;954,7;953,7;3652,6;28,7;20,4;29,8;27,3;22,5;20,4;71;58;61;301;6,8;2,4;
2024/01/02;1600 UTC;0;952,6;953,7;952,6;3588,5;29,7;20,9;31;28,3;22,3;20,1;66;53;59;80;6,5;3;
2024/01/02;1700 UTC;0;951,9;952,6;951,9;3226,4;30,6;20,8;30,9;28,7;21,9;19,9;65;53;56;223;8,2;2,3;
2024/01/02;1800 UTC;0;951,4;951,9;951,3;1713,8;29,5;21,1;30,8;29,2;21,9;20,6;64;56;61;334;5,8;1,1;
2024/01/02;1900 UTC;0;951,6;951,6;951,3;1118,7;26,8;21,8;29,5;26,3;22,2;20,1;76;57;74;117;6,8;3,4;
2024/01/02;2000 UTC;0;951,1;951,6;950,9;1022,5;26,9;21,9;27,2;26,5;23;21,9;79;74;74;272;5,6;2,7;
2024/01/02;2100 UTC;0;951,9;951,9;951,1;194,6;26,2;21,6;27,1;26,2;22,6;21,6;81;74;76;294;5,1;1,8;
2024/01/02;2200 UTC;3,2;952,8;952,8;951,9;8,4;23,1;21,2;26,2;23;22,2;21;89;76;89;104;7,8;1;
2024/01/02;2300 UTC;,2;953,9;953,9;952,8;;23,4;21,4;23,4;23,1;21,6;21,1;90;88;88;1;2,8;,4;
2024/01/03;0000 UTC;0;954,2;954,3;953,9;;23,4;21,6;23,4;23,2;21,6;21,3;90;88;90;248;1,2;,6;
2024/01/03;0100 UTC;0;954,6;954,6;954,2;;23,5;21,5;23,6;23,2;21,7;21,4;90;89;89;61;2,1;,3;
2024/01/03;0200 UTC;;;;;;;;;;;;;;;314;;;
2024/01/03;0300 UTC;0;954,3;954,7;954,3;;23,4;21,7;23,5;23,3;21,8;21,5;91;90;90;55;1,3;,7;
2024/01/03;0400 UTC;0;953,8;954,3;953,8;;23,4;21,5;23,5;23,4;21,8;21,5;91;89;89;214;1,7;,8;
2024/01/03;0500 UTC;0;953,6;953,8;953,5;;23,2;21,4;23,4;23,2;21,7;21,4;90;89;90;22;2,1;,8;
2024/01/03;0600 UTC;0;953,4;953,6;953,4;;23,1;21,4;23,2;23;21,5;21,2;91;89;90;45;2,9;,5;
2024/01/03;0700 UTC;,4;953,5;953,5;953,2;;23;20,9;23,3;23;21,6;20,8;91;86;88;256;3,7;1,7;
2024/01/03;0800 UTC;2,8;953,9;953,9;953,4;;22,7;21,1;23;22,4;21,2;20,6;91;88;91;242;3,7;,7;
