REGIAO:;SE
UF:;MG
ESTACAO:;GUARDA-MOR
CODIGO (WMO):;A546
LATITUDE:;-17,56138888
LONGITUDE:;-47,19916666
ALTITUDE:;997,01
DATA DE FUNDACAO:;11/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;902,7;902,7;902,2;;21,2;19,9;21,5;21,1;20,3;19,8;93;92;92;89;1,6;,1;
2024/01/01;0100 UTC;0;903,7;903,7;902,7;;21,5;20,1;21,5;21,2;20,1;19,8;93;91;92;188;2,1;,3;
2024/01/01;0200 UTC;0;904,4;904,4;903,7;;21;20;21,5;21;20,1;19,8;94;91;94;167;1,7;,1;
2024/01/01;0300 UTC;0;904,2;904,4;904,2;;20,9;20,2;21,1;20,8;20,3;20;96;94;96;105;3,4;1,9;
2024/01/01;0400 UTC;0;903,6;904,2;903,6;;21;20,4;21,1;20,9;20,5;20,2;96;96;96;309;4,4;1,5;
2024/01/01;0500 UTC;0;903;903,6;903;;20,7;20,1;21,1;20,7;20,5;20;97;96;96;166;3,2;,3;
2024/01/01;0600 UTC;0;902,6;903;902,6;;20,2;19,4;20,8;20,1;20,1;19,3;96;95;95;22;3;,7;
2024/01/01;0700 UTC;0;902,3;902,6;902,2;;20,2;19,4;20,3;20,1;19,6;19,4;96;95;95;216;1,9;,5;
2024/01/01;0800 UTC;0;902,7;902,7;902,3;;19,2;18,6;20,2;19,2;19,5;18,5;96;94;96;83;4,1;1,7;
2024/01/01;0900 UTC;0;903,4;903,4;902,6;;19;18,5;19,3;19;18,7;18,5;96;96;96;344;2,8;,3;
2024/01/01;1000 UTC;0;903,9;903,9;903,4;58,8;19,2;18,6;19,2;18,8;18,6;18,2;97;96;96;219;,8;0;
2024/01/01;1100 UTC;0;904,2;904,2;903,9;330,6;20,4;18,8;20,4;19,1;19,2;18,5;96;91;91;22;,5;0;
2024/01/01;1200 UTC;0;904,7;904,7;904,2;651,5;21;19,3;21,1;20,3;19,5;18,7;91;89;90;334;2;,4;
2024/01/01;1300 UTC;0;904,8;904,9;904,6;1032,6;22,4;20,4;22,4;21;20,4;19,3;91;86;89;127;1,8;,8;
2024/01/01;1400 UTC;0;904,4;904,8;904,4;1463,2;22,8;19,7;23,3;22,2;20,9;19,7;90;82;82;88;2,4;,8;
2024/01/01;1500 UTC;0;903,5;904,4;903,5;1771,9;24;20,3;24,2;22,8;20,6;19,1;85;78;80;110;1,8;,5;
2024/01/01;1600 UTC;0;902,6;903,5;902,6;2600,9;25,1;18,6;25,3;24,1;20,7;18;81;66;68;143;3;1,3;
2024/01/01;1700 UTC;0;901,6;902,6;901,6;2240,6;25,6;20,1;25,6;24,7;20,4;18,7;75;68;72;297;3;,9;
2024/01/01;1800 UTC;0;900,5;901,6;900,5;3225,5;26,8;20,5;26,8;25,4;20,5;17,9;73;61;68;207;3,1;,8;
2024/01/01;1900 UTC;0;900,3;900,5;900,2;1844;26,4;19;27;25,9;20,1;18,3;69;62;64;199;2,9;1;
2024/01/01;2000 UTC;0;900,2;900,5;900,2;1065,9;25,3;20,8;26,6;25;21,3;18,9;80;63;76;287;4,7;1,6;
2024/01/01;2100 UTC;0;900,5;900,5;900;286,4;23,6;20,9;25,3;23,5;21;20,1;85;75;85;226;3,7;,9;
2024/01/01;2200 UTC;0;901,4;901,4;900,5;47,6;22,7;20,8;23,6;22,6;21,1;20,7;89;85;89;155;2,8;,1;
2024/01/01;2300 UTC;0;901,8;901,8;901,4;;21,9;20,9;22,7;21,9;21,2;20,8;94;89;94;84;1,5;0;
2024/01/02;0000 UTC;0;902,8;902,8;901,8;;21,8;21;21,9;21,7;21;20,8;95;94;95;291;2,4;,6;
2024/01/02;0100 UTC;0;903,3;903,3;902,8;;21,6;20,9;21,8;21,6;21,1;20,9;96;95;96;132;2,5;,2;
2024/01/02;0200 UTC;0;903,2;903,5;903,2;;21,1;20,4;21,6;21,1;20,9;20,4;96;95;96;211;2,6;,6;
2024/01/02;0300 UTC;0;903;903,3;903;;20,8;20,1;21,2;20,7;20,5;20;96;96;96;330;1,9;,2;
2024/01/02;0400 UTC;0;902,3;903;902,3;;21;20,4;21,1;20,8;20,5;20,1;96;96;96;34;2,8;,9;
2024/01/02;0500 UTC;0;901,7;902,3;901,6;;20,4;19,8;21;20,3;20,4;19,8;96;96;96;297;3;,6;
2024/01/02;0600 UTC;0;901,8;901,8;901,6;;20,6;20;20,7;20,3;20,2;19,8;97;96;97;311;3,3;1,5;
2024/01/02;0700 UTC;0;901,7;901,8;901,6;;19,9;19,3;20,6;19,9;20,1;19,3;97;96;96;315;3,3;1;
2024/01/02;0800 UTC;0;901,8;901,9;901,7;;19,6;19,1;20,1;19,6;19,5;19;97;96;97;124;3,4;1,6;
2024/01/02;0900 UTC;0;902;902;901,6;18,8;19,5;18,9;19,7;19,4;19,1;18,8;97;96;96;184;2,2;1;
2024/01/02;1000 UTC;0;902,3;902,3;901,9;391;20,9;19,9;20,9;19,5;19,9;18,9;96;94;94;46;2,2;1;
2024/01/02;1100 UTC;0;902,8;902,9;902,3;901,7;21,7;20;21,8;20,9;20,3;19,6;94;89;90;15;3,9;1,8;
2024/01/02;1200 UTC;0;902,9;902,9;902,8;1434,8;22,7;20,3;23,1;21,7;21,1;19,9;91;84;86;263;4,6;2;
2024/01/02;1300 UTC;0;902,9;903;902,9;1999,6;23,9;20,6;23,9;22,6;21;19,9;88;81;82;32;5,2;2,3;
2024/01/02;1400 UTC;0;902,4;902,9;902,3;2957;24,3;20;25,4;23,2;21,3;19,6;84;72;77;64;5,9;2;
2024/01/02;1500 UTC;0;901,6;902,5;901,6;2972,7;25,8;20,6;25,8;24,2;21,6;19,9;81;72;73;84;4,8;1,3;
2024/01/02;1600 UTC;0;900,9;901,6;900,9;3390,3;26,2;20,8;26,3;24,7;21,9;19,7;81;69;72;214;5,7;2;
2024/01/02;1700 UTC;0;900,1;900,9;900,1;3713,3;26,2;20,5;27,2;25,6;21,5;19,8;75;66;71;177;6,1;1,9;
2024/01/02;1800 UTC;0;899,6;900,1;899,5;3036,4;26,3;21,1;27,2;25,8;22,5;20,3;79;68;73;190;6,1;2;
2024/01/02;1900 UTC;0;899,1;899,6;899,1;1836,4;25,5;21,9;26,9;25,5;22,3;20,3;81;70;81;60;5,5;1,7;
2024/01/02;2000 UTC;0;898,7;899,1;898,7;1448,5;25,1;20,8;25,7;24,5;22,2;20,2;83;74;77;356;6,4;1,8;
2024/01/02;2100 UTC;0;899,3;899,3;898,7;684,2;23,7;21;25,2;23,7;21,3;20,5;85;76;85;211;3,6;,8;
2024/01/02;2200 UTC;0;900,1;900,1;899,3;52;21,9;20,4;23,7;21,9;21,1;20,2;91;84;91;289;3,2;1,8;
2024/01/02;2300 UTC;0;901,3;901,4;900,1;;21,6;20,2;22;21,6;20,8;20,2;93;91;92;339;4;1,4;
2024/01/03;0000 UTC;0;901,6;901,8;901,3;;21,6;20,4;21,7;21,6;20,5;20,2;93;92;93;216;2,8;1;
2024/01/03;0100 UTC;0;901,4;901,6;901,4;;21,6;20,5;21,7;21,6;20,5;20,3;93;92;93;168;3,6;1,7;
2024/01/03;0200 UTC;0;901,7;901,7;901,3;;21,5;20,3;21,7;21,4;20,5;20,2;93;92;93;116;4,7;1,9;
2024/01/03;0300 UTC;0;901,2;901,8;901,2;;21,5;20,6;21,7;21,5;20,7;20,3;94;93;94;33;4,1;2,1;
2024/01/03;0400 UTC;0;900,6;901,2;900,6;;21;20,3;21,5;21;20,6;20,2;96;94;96;40;3,9;1,7;
2024/01/03;0500 UTC;0;900,3;900,6;900,2;;20,8;20,1;21,1;20,8;20,4;20,1;96;95;96;322;2,8;1,6;
2024/01/03;0600 UTC;0;900,3;900,4;900,2;;20,7;20;20,9;20,7;20,2;20;96;96;96;150;4;2;
2024/01/03;0700 UTC;0;900,4;900,4;900,2;;20,3;19,6;20,7;20,2;20;19,6;96;96;96;169;3,9;1,5;
2024/01/03;0800 UTC;0;900,7;900,7;900,4;;20,5;19,9;20,5;20,3;19,9;19,6;96;96;96;39;3,3;1,5;
2024/01/03;0900 UTC;0;901,1;901,1;900,7;6,2;20,5;19,9;20,6;20,5;20;19,9;96;96;96;93;3,4;1,7;
2024/01/03;1000 UTC;0;901,8;901,9;901,1;216,3;19,7;18,9;20,6;19,6;20;18,8;96;95;95;164;5,3;2,3;
2024/01/03;1100 UTC;0;902,2;902,3;901,8;478,1;20,1;19,3;20,2;19,7;19,4;18,8;95;94;95;296;3,7;2,2;
2024/01/03;1200 UTC;0;902,5;902,6;902,2;545,9;20,6;19,9;20,6;20;19,9;19,2;96;95;96;36;3,8;1,9;
2024/01/03;1300 UTC;0;902,6;902,8;902,5;1262,1;22,4;20,7;22,5;20,4;21,1;19,8;96;90;90;135;4,6;2,8;
2024/01/03;1400 UTC;0;902,3;902,6;902,3;1949,4;23,9;21,2;23,9;22;22;20,3;94;85;85;52;5,2;2,2;
2024/01/03;1500 UTC;0;902;902,3;901,9;1833,8;21,7;20,2;24,2;21,5;22;19,8;91;82;91;12;8;4,7;
2024/01/03;1600 UTC;0;901,1;902;901,1;2499,4;24,8;22,3;24,8;21,7;22,3;20,4;94;83;86;319;8;2,5;
2024/01/03;1700 UTC;0;900,3;901,1;900,3;2409,2;25,4;21,1;26,9;24,3;22,5;20,1;86;70;77;121;4,2;2,6;
2024/01/03;1800 UTC;0;899,8;900,3;899,8;1863,6;25,9;20,7;26,3;24,8;22,5;20,5;82;72;73;322;4,2;1,4;
2024/01/03;1900 UTC;0;899,3;899,8;899,3;1318,6;24,7;21;26,7;24,7;21,9;20,6;80;71;80;109;3,9;,8;
2024/01/03;2000 UTC;0;899;899,4;898,9;762,6;23,2;21,2;24,7;23,1;22,3;20,9;90;80;89;305;4,9;1,1;
2024/01/03;2100 UTC;0;899,6;899,6;899;277,4;22,5;21,2;23,6;22,5;22;21,2;93;89;93;26;4,9;2,1;
2024/01/03;2200 UTC;0;900,8;900,9;899,6;7,3;20,4;19,7;22,5;20,4;21,5;19,7;96;93;96;102;5,1;2,7;
2024/01/03;2300 UTC;0;901,6;901,7;900,8;,5;19,7;19,2;20,4;19,2;19,7;18,6;97;96;97;354;6;1,2;
2024/01/04;0000 UTC;0;901,9;902;901,4;;20,3;19,8;20,4;19,6;19,8;19;97;97;97;193;2,6;1,7;
2024/01/04;0100 UTC;0;902,5;902,6;901,9;;20,4;19,9;20,5;20;19,9;19,5;97;97;97;164;2,3;1,1;
2024/01/04;0200 UTC;0;902,3;902,5;902,2;;20,9;20,3;20,9;20,4;20,3;19,9;97;96;96;156;2,9;1,6;
2024/01/04;0300 UTC;0;901,9;902,3;901,9;;20,8;20,2;21;20,8;20,4;20,1;96;96;96;138;2,2;1,4;
2024/01/04;0400 UTC;0;901,2;901,9;901,2;;20,8;20,1;20,8;20,8;20,2;20,1;96;96;96;280;2,9;2,1;
2024/01/04;0500 UTC;0;900,9;901,2;900,9;;20,7;20;20,8;20,7;20,1;20;96;95;95;229;2,9;1,4;
2024/01/04;0600 UTC;0;900,6;900,9;900,6;;20,6;20;20,7;20,6;20;19,9;96;95;96;263;2,1;,9;
2024/01/04;0700 UTC;0;900,8;900,8;900,5;;20,4;19,7;20,6;20,4;20;19,7;96;96;96;173;1,8;,3;
2024/01/04;0800 UTC;0;901;901;900,8;;20,3;19,7;20,4;20,3;19,8;19,7;97;96;97;56;2,6;1,5;
2024/01/04;0900 UTC;0;901,5;901,5;901;13,1;20,2;19,6;20,3;20,1;19,7;19,6;97;97;97;105;3;2,1;
2024/01/04;1000 UTC;0;902;902,1;901,5;277,2;20,9;20,1;20,9;20,2;20,1;19,7;97;95;95;30;3,1;1,4;
2024/01/04;1100 UTC;0;902,6;902,6;902;1101,1;22,9;21,3;22,9;20,9;21,3;20,1;95;89;91;267;4,5;3,1;
2024/01/04;1200 UTC;0;903,2;903,2;902,6;1710,2;23,2;20,8;23,4;22,6;21,4;20,4;91;86;86;3;5;2,5;
2024/01/04;1300 UTC;0;903,5;903,5;903,2;711;20,4;19,1;23,2;20,3;21;18,7;93;84;92;283;5,1;1,2;
2024/01/04;1400 UTC;0;903,2;903,5;903,2;702,4;19,9;18,8;20,5;19,8;19,4;18,7;94;92;93;139;5,5;1,6;
2024/01/04;1500 UTC;0;902,5;903,2;902,5;1829,3;21,8;19,5;22,1;19,8;20,3;18,8;95;87;87;55;4,3;1,5;
2024/01/04;1600 UTC;0;901,6;902,5;901,6;1136,9;22,2;19,9;22,2;21,6;20,2;19;89;83;87;191;3,7;,5;
2024/01/04;1700 UTC;0;900,7;901,6;900,6;2252,5;24,3;17,9;25,6;22,3;20,5;17,4;88;63;67;129;1,9;,2;
2024/01/04;1800 UTC;0;900,8;900,8;900,7;696,4;22,4;19,7;24,5;22,3;20,1;18,6;86;67;85;200;2,3;,7;
2024/01/04;1900 UTC;0;900,9;900,9;900,8;481,8;22,5;20,8;22,6;22,3;20,8;19,4;90;83;90;204;1,8;,3;
2024/01/04;2000 UTC;0;900,8;900,9;900,7;223;20,4;19,4;22,5;20,4;21;19,4;95;90;94;132;2,4;1,1;
2024/01/04;2100 UTC;0;900,8;900,8;900,6;118,7;20,3;19,6;20,5;20,2;19,6;19,3;95;94;95;41;2;,2;
2024/01/04;2200 UTC;0;901,4;901,4;900,8;19;20,3;19,7;20,5;20,3;19,8;19,5;96;95;96;165;1,5;,7;
2024/01/04;2300 UTC;0;901,9;901,9;901,4;;20,3;19,8;20,4;20,2;19,8;19,6;97;96;97;209;1,8;,9;
2024/01/05;0000 UTC;0;902,5;902,5;901,9;;20,2;19,7;20,4;20,2;19,9;19,7;97;97;97;77;1,6;,1;
2024/01/05;0100 UTC;0;903;903;902,5;;20,2;19,7;20,3;20,1;19,7;19,6;97;97;97;312;1,2;,4;
2024/01/05;0200 UTC;0;903,2;903,2;903;;20,3;19,8;20,4;20,2;19,8;19,7;97;97;97;254;1,7;,2;
