REGIAO:;SE
UF:;MG
ESTACAO:;SAO ROMAO
CODIGO (WMO):;A547
LATITUDE:;-16,36277777
LONGITUDE:;-45,12388888
ALTITUDE:;490,29
DATA DE FUNDACAO:;30/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;956,6;956,6;956,2;;22,4;21;23,3;22,4;21,6;21;92;90;92;96;1;,5;
2024/01/01;0100 UTC;0;957,3;957,4;956,6;;22,1;20,9;22,4;22,1;21;20,8;93;92;93;175;1;0;
2024/01/01;0200 UTC;0;957,9;957,9;957,3;;22;20,9;22,1;21,9;20,9;20,7;93;93;93;26;0;0;
2024/01/01;0300 UTC;0;957,5;958;957,5;;22,8;21,7;22,8;22;21,7;20,9;94;93;94;227;,9;0;
2024/01/01;0400 UTC;0;957;957,5;957;;23,1;22;23,1;22,8;22;21,7;94;93;93;270;1,5;,7;
2024/01/01;0500 UTC;0;956,2;957;956,2;;23;21,9;23,1;22,6;22;21,5;94;93;94;297;1,3;0;
2024/01/01;0600 UTC;0;956,1;956,3;956;0;22,9;21,8;23,4;22,9;22,3;21,8;94;93;93;186;0;0;
2024/01/01;0700 UTC;0;955,9;956,1;955,8;;23,4;22,3;23,4;22,8;22,3;21,7;94;93;94;326;1,4;,5;
2024/01/01;0800 UTC;0;956,4;956,5;955,8;;23,6;22,4;23,6;23,3;22,4;22,2;94;93;93;266;3,7;1,1;
2024/01/01;0900 UTC;0;956,3;956,4;956,3;32,5;23,4;22,2;23,7;23,2;22,4;21,7;93;91;93;176;2,3;1,2;
2024/01/01;1000 UTC;0;957,3;957,4;956,3;283,6;24,6;22,8;24,6;23,4;22,9;22,2;93;90;90;313;2,2;,3;
2024/01/01;1100 UTC;0;957,8;957,9;957,3;615,4;26;22,6;26;24,6;23,1;22,1;90;81;81;259;2,6;,9;
2024/01/01;1200 UTC;0;958,1;958,1;957,8;1288,4;27,5;22,4;28;26;22,9;21,8;81;71;73;54;2,4;,8;
2024/01/01;1300 UTC;,2;957,8;958,2;957,8;1139,6;27,6;23,3;27,6;26,5;23,7;22;81;72;77;267;2;,7;
2024/01/01;1400 UTC;0;957,4;957,9;957,4;1135,9;28,8;22,5;29;27,5;23,7;21,9;79;67;68;5;3,1;,1;
2024/01/01;1500 UTC;0;956,7;957,4;956,7;1556,6;29;22,6;29,1;28,3;23,2;21,4;72;66;69;36;2,5;,6;
2024/01/01;1600 UTC;,6;955,6;956,7;955,6;1755,2;29,5;23;29,6;27,6;24,3;22,4;77;68;68;5;2,1;,4;
2024/01/01;1700 UTC;0;954,8;955,6;954,8;2280,8;30;21,8;31,8;29,5;24,2;21,8;72;59;62;337;4,1;1,4;
2024/01/01;1800 UTC;10,6;954,4;955,3;954,4;313,1;23,3;22,1;30;22,7;22,3;20,2;93;61;93;68;9,9;1,2;
2024/01/01;1900 UTC;0;954,2;954,7;954,2;306,9;24,9;23,6;24,9;23,2;23,6;22;93;93;93;305;2,9;,3;
2024/01/01;2000 UTC;,2;954,2;954,3;954,1;467,9;25,1;23,7;25,5;24,9;23,9;23;93;88;92;93;2,1;,7;
2024/01/01;2100 UTC;0;954,4;954,5;954,1;309,6;25,2;23,8;25,3;25;23,9;23,6;92;91;92;305;2,3;,9;
2024/01/01;2200 UTC;0;954,9;954,9;954,3;110;24,6;23,3;25,3;24,5;23,9;23,3;93;92;93;127;2,2;0;
2024/01/01;2300 UTC;0;955,2;955,3;954,9;;23,8;22,6;24,6;23,6;23,3;22,5;93;93;93;257;1,6;1;
2024/01/02;0000 UTC;0;956,5;956,5;955,3;,3;23,8;22,7;24,1;23,5;23;22,4;94;93;94;109;1,6;0;
2024/01/02;0100 UTC;0;957;957,1;956,5;;22,9;21,9;23,8;22,9;22,7;21,9;94;93;94;256;1,1;0;
2024/01/02;0200 UTC;0;957;957;956,9;;23,2;22,2;23,3;22,7;22,2;21,7;94;94;94;76;,5;0;
2024/01/02;0300 UTC;0;956,4;957,1;956,4;;22,9;21,8;23,5;22,8;22,4;21,8;94;94;94;32;1,4;,5;
2024/01/02;0400 UTC;0;955,9;956,4;955,9;;23,2;22,1;23,3;22,8;22,2;21,7;94;94;94;279;1,4;,1;
2024/01/02;0500 UTC;0;955,3;955,9;955,3;;22,5;21,5;23,2;22,5;22,1;21,5;94;94;94;342;1,3;0;
2024/01/02;0600 UTC;0;955,2;955,5;955,2;;22,5;21,5;22,5;22,2;21,5;21,3;94;94;94;88;0;0;
2024/01/02;0700 UTC;0;955,3;955,5;955,2;;22,5;21,5;22,6;22,4;21,6;21,4;94;94;94;124;1,1;0;
2024/01/02;0800 UTC;0;955,6;955,7;955,3;;22,3;21,3;22,6;22,3;21,6;21,3;94;94;94;340;1,2;0;
2024/01/02;0900 UTC;0;956,4;956,5;955,6;17,6;22,5;21,5;22,5;22,1;21,5;21,1;94;94;94;146;0;0;
2024/01/02;1000 UTC;0;956,5;956,6;956,5;237,8;23,8;22,7;23,8;22,5;22,7;21,5;94;94;94;29;2,5;1,2;
2024/01/02;1100 UTC;0;956,8;956,9;956,4;971,8;25,2;23,4;25,3;23,8;24,2;22,8;94;90;90;76;4;1,7;
2024/01/02;1200 UTC;0;957;957;956,8;1571,2;27,7;22,9;27,8;25,2;24,6;22,5;90;75;75;316;5;2,3;
2024/01/02;1300 UTC;0;956,7;957;956,7;2401,7;28,6;22,5;29,5;26,7;23,5;21,9;79;65;70;105;6;2,2;
2024/01/02;1400 UTC;0;956,4;956,7;956,4;1869,3;28,9;23;28,9;27,9;23,4;22,1;74;68;70;157;6;2,9;
2024/01/02;1500 UTC;0;955,4;956,4;955,4;3734,4;31,2;22,1;31,2;28,8;23,4;21,7;71;58;59;82;8,8;2,9;
2024/01/02;1600 UTC;0;954,4;955,4;954,4;1743,9;29,7;21,7;31,4;28,8;22,6;21,2;68;57;62;326;5,9;1,5;
2024/01/02;1700 UTC;0;953,6;954,4;953,6;1440,8;29,4;22,4;30,4;29,4;22,9;21,5;66;60;66;299;4,4;1,6;
2024/01/02;1800 UTC;0;953,2;953,7;953,2;345,1;24,6;21,6;29,3;24,6;22,5;20,9;84;65;84;315;5,9;1,8;
2024/01/02;1900 UTC;,8;953;953,3;953;388;25;22,9;25;24,4;23,1;21,7;90;84;88;14;3,6;1;
2024/01/02;2000 UTC;,2;952,9;953;952,5;654,2;26,5;23,7;26,5;25;23,8;22,5;88;84;85;4;2,5;0;
2024/01/02;2100 UTC;0;953,1;953,1;952,9;511,4;26,4;23,5;27,1;26,4;24,2;23,4;85;82;84;276;3,9;1,5;
2024/01/02;2200 UTC;0;954,3;954,3;953,1;48,6;25,1;22,4;26,4;25,1;23,5;22,3;87;82;85;174;4,7;1,3;
2024/01/02;2300 UTC;,2;955;955;954,3;1,1;24,4;22,8;25,1;24,4;22,8;22,4;91;85;91;198;3,6;1,2;
2024/01/03;0000 UTC;0;955,9;955,9;955;;24,1;22,4;24,4;24,1;22,8;22,4;91;90;90;230;4,3;1,5;
2024/01/03;0100 UTC;1;956,2;956,2;955,9;1,9;23,7;22,3;24,1;23,7;22,4;22,3;92;90;92;116;4,8;,8;
2024/01/03;0200 UTC;0;956,2;956,3;956,2;,3;23,5;22,3;23,7;23,5;22,4;22,3;93;92;93;211;3,1;1;
2024/01/03;0300 UTC;,4;955,9;956,2;955,9;,1;23,4;22,3;23,5;23,4;22,4;22,2;93;93;93;230;3,7;1,1;
2024/01/03;0400 UTC;,6;955,2;955,9;955,1;,5;23,6;22,5;23,6;23,4;22,5;22,3;94;93;94;50;4,1;1,5;
2024/01/03;0500 UTC;0;954,9;955,2;954,9;;23,5;22,4;23,6;23,5;22,5;22,4;94;94;94;48;3,3;,8;
2024/01/03;0600 UTC;0;955;955,1;954,9;;23,6;22,5;23,6;23,5;22,5;22,4;94;94;94;123;2,2;,2;
2024/01/03;0700 UTC;0;955;955,1;954,9;0;23,4;22,4;23,6;23,4;22,5;22,4;94;94;94;173;3,4;,7;
2024/01/03;0800 UTC;0;955,4;955,5;955;;22,9;21,8;23,5;22,9;22,4;21,8;94;93;93;195;5,7;1,2;
2024/01/03;0900 UTC;0;955,9;955,9;955,4;17,3;22,4;21,3;22,9;22,3;21,8;21,2;93;93;93;300;3,5;,3;
