REGIAO:;SE
UF:;MG
ESTACAO:;CHAPADA GAUCHA
CODIGO (WMO):;A548
LATITUDE:;-15,30027777
LONGITUDE:;-45,61749999
ALTITUDE:;873,2
DATA DE FUNDACAO:;22/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;272;;;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;31;;;
2024/01/01;0200 UTC;0;916,7;916,8;916,4;;22,3;19,8;22,4;21,7;20;19,6;89;85;85;302;4,1;2,6;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;127;;;
2024/01/01;0400 UTC;0;916,1;916,5;916,1;;22;20;22,4;22;20;19,6;89;84;89;104;3,5;2,3;
2024/01/01;0500 UTC;0;915,6;916,1;915,6;;21,9;20;22;21,8;20,1;20;89;89;89;302;3,5;2,2;
2024/01/01;0600 UTC;0;915,1;915,6;915,1;;22;20,1;22,2;21,8;20,2;20;90;88;89;33;4,9;3,3;
2024/01/01;0700 UTC;0;914,6;915,2;914,6;;21,9;20,1;22,1;21,9;20,1;20;89;89;89;166;5,7;2,7;
2024/01/01;0800 UTC;0;914,7;914,7;914,5;;21,6;19,9;22;21,6;20,1;19,9;90;89;90;145;3,8;2,5;
2024/01/01;0900 UTC;0;915;915;914,7;32,4;21,9;19,6;21,9;21,6;19,9;19,6;90;87;87;193;3,9;2,7;
2024/01/01;1000 UTC;0;916;916;915;534,3;22,9;20,6;22,9;21,9;20,7;19,6;87;85;87;310;5,3;2,1;
2024/01/01;1100 UTC;0;916,5;916,5;916;950,6;23,6;20,2;23,7;22,8;20,8;20,2;88;81;81;97;4,8;2,9;
2024/01/01;1200 UTC;0;916,9;916,9;916,5;1704,8;25,2;20,5;25,3;23,6;21,1;20;82;75;75;117;4,8;1,4;
2024/01/01;1300 UTC;0;916,8;917;916,8;1478,5;25,8;19,9;25,8;24,7;20,6;19,5;76;70;70;165;3,7;1,7;
2024/01/01;1400 UTC;0;916,1;916,8;916,1;2767,8;26,7;19,1;27,6;25,5;20,9;18,9;72;60;63;253;3,6;1,7;
2024/01/01;1500 UTC;0;915,2;916,1;915,2;2148,3;27,4;19,5;27,6;25,1;20,6;18,5;71;61;62;121;7,5;1,5;
2024/01/01;1600 UTC;2,2;914,5;915,2;914,5;1560;24,9;21,3;28,1;23,4;21,3;19,3;82;60;81;213;8,6;2,6;
2024/01/01;1700 UTC;0;914,2;914,6;913,6;1863,7;24,5;20,3;24,8;24,2;21,3;20;83;77;77;114;8,1;2,8;
2024/01/01;1800 UTC;0;913,5;914,2;913,5;1089,2;24,2;20,5;24,5;23,8;20,6;19,8;81;77;80;289;5,4;2,9;
2024/01/01;1900 UTC;0;913,1;913,6;913,1;753;24,3;20,8;24,4;24;21,2;20,1;83;79;81;27;4,6;2,3;
