REGIAO:;SE
UF:;MG
ESTACAO:;RIO PARDO DE MINAS
CODIGO (WMO):;A551
LATITUDE:;-15,72305554
LONGITUDE:;-42,43583333
ALTITUDE:;850,06
DATA DE FUNDACAO:;17/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;918,9;918,9;918,2;;21,7;20,7;22,3;21,7;21,1;20,7;94;92;94;322;2,7;1,6;
2024/01/01;0100 UTC;0;919,3;919,4;918,9;;21,9;20,9;22;21,7;21,1;20,7;95;94;94;169;2,2;1,3;
2024/01/01;0200 UTC;0;919,6;919,6;919,3;;21,4;20,5;22,2;21,3;21,2;20,3;95;93;95;126;1,9;,8;
2024/01/01;0300 UTC;0;919,4;919,6;919,4;;21,4;20,7;21,8;21,4;21,1;20,6;96;95;96;280;1,2;0;
2024/01/01;0400 UTC;0;918,9;919,4;918,8;;20,8;20,3;21,6;20,7;20,9;20,1;97;95;97;73;1,8;,4;
2024/01/01;0500 UTC;0;918,7;918,9;918,7;;21;20,5;21,2;20,8;20,8;20,3;97;97;97;333;1,7;1;
2024/01/01;0600 UTC;0;918,5;918,7;918,4;;21,4;20,9;21,4;21;20,9;20,6;97;97;97;311;2,1;0;
2024/01/01;0700 UTC;0;918,2;918,5;918,2;;21,1;20,2;21,4;21,1;20,9;20,2;97;94;94;176;2,3;,9;
2024/01/01;0800 UTC;0;918,9;918,9;918,2;;20,7;20,1;21,1;20,6;20,2;19,9;96;94;96;35;2,5;0;
2024/01/01;0900 UTC;0;919,5;919,5;918,9;51,3;21;20,3;21;20,8;20,3;20,1;96;95;95;184;2,5;1,4;
2024/01/01;1000 UTC;0;919,8;919,8;919,4;218,8;21,2;20,2;21,3;21;20,3;20,1;96;94;94;295;3,8;2,1;
2024/01/01;1100 UTC;2,8;920;920,1;919,8;287,3;20;19,1;21,3;19,9;20,5;18,8;96;93;94;84;4;,7;
2024/01/01;1200 UTC;0;920,1;920,2;919,9;1361,8;22,5;19,6;22,8;20;21,5;19,2;95;83;83;352;4,8;3,1;
2024/01/01;1300 UTC;0;920,1;920,2;920,1;2028,6;24;19,8;24,1;22,2;20,3;18,8;86;77;77;61;4,5;1,7;
2024/01/01;1400 UTC;0;919,4;920,1;919,4;2358,4;26,3;19,7;26,3;24;20,7;19,1;78;67;67;206;5;1,7;
2024/01/01;1500 UTC;0;918,4;919,4;918,4;2655,9;26,3;19,1;27,8;25,8;20,6;18,9;68;61;65;57;6,8;2,6;
2024/01/01;1600 UTC;0;917,2;918,4;917,2;3749,7;28,4;20,2;29,1;26,3;20,6;18,4;67;56;61;92;8,2;2,6;
2024/01/01;1700 UTC;0;916;917,2;916;2525,6;28,2;19,3;30;28,2;20,5;17,7;62;51;59;100;6,1;2,4;
2024/01/01;1800 UTC;4,2;916;916,4;915,9;471,8;22,4;20,5;28,3;22,1;20,9;18,5;90;55;89;140;8,7;2,8;
