REGIAO:;SE
UF:;MG
ESTACAO:;SALINAS
CODIGO (WMO):;A552
LATITUDE:;-16,16027777
LONGITUDE:;-42,31027777
ALTITUDE:;487,14
DATA DE FUNDACAO:;14/09/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;957,2;957,2;956,4;;23,4;21,7;24,2;23,4;22,1;21,7;90;88;90;137;,7;0;
2024/01/01;0100 UTC;0;957,7;957,8;957,2;;23,1;21,7;23,5;23;21,9;21,6;92;90;92;329;1,2;,3;
2024/01/01;0200 UTC;0;958;958;957,7;;22,8;21,4;23,2;22,7;21,8;21,4;92;92;92;40;1,3;0;
2024/01/01;0300 UTC;0;957,8;958;957,8;;22,8;21,5;23,1;22,7;21,8;21,4;93;92;92;238;,7;0;
2024/01/01;0400 UTC;0;957,6;957,8;957,6;;22,7;21,5;22,8;22,5;21,6;21,3;93;92;93;265;1;0;
2024/01/01;0500 UTC;0;957,4;957,6;957,4;;23,2;21,9;23,2;22,6;21,9;21,4;93;92;92;248;0;0;
2024/01/01;0600 UTC;0;957;957,4;957;;23,3;21,9;23,3;23,2;21,9;21,8;92;91;92;310;0;0;
2024/01/01;0700 UTC;0;957;957;956,9;;23,5;22,1;23,5;23,3;22,1;21,8;92;92;92;42;0;0;
2024/01/01;0800 UTC;0;957,4;957,4;957;;23,5;22,1;23,5;23,4;22,1;22;92;92;92;311;0;0;
2024/01/01;0900 UTC;0;958;958;957,4;68,7;23,7;22,2;23,7;23,4;22,3;22;92;91;91;156;1,4;,3;
2024/01/01;1000 UTC;0;958,5;958,5;958;349,4;24,5;21,7;24,5;23,7;22,1;21,3;91;82;84;105;3,2;,6;
2024/01/01;1100 UTC;0;959;959;958,5;605,2;25,2;21;25,6;24,5;21,9;20,8;85;76;78;136;3,9;1,8;
2024/01/01;1200 UTC;0;958,6;959,1;958,6;1543,9;28,1;19,7;28,1;25,2;21,3;19,1;79;58;60;309;5,7;3,1;
2024/01/01;1300 UTC;0;958,4;958,6;958,4;3040,5;30,1;19,5;30,1;27,1;19,9;18,4;62;51;53;211;6,9;3,3;
2024/01/01;1400 UTC;0;957,8;958,5;957,7;3824,3;30,5;19,6;31;29,8;20,9;19;56;51;52;100;7,8;3,1;
2024/01/01;1500 UTC;0;956,6;957,8;956,6;3568,1;31,6;18,6;32,7;29,9;20,8;18,3;56;44;46;139;6,9;3,1;
2024/01/01;1600 UTC;0;955,4;956,6;955,4;3929,4;33,6;19,6;33,6;31,6;20;18;48;42;44;86;6,6;2,3;
2024/01/01;1700 UTC;0;954,1;955,4;954,1;3358,1;33,7;17,2;33,9;32;19,4;16,9;47;37;37;147;5,5;1,1;
2024/01/01;1800 UTC;0;953,3;954,1;953,3;2532,7;32,5;18,6;34;32,1;20,2;16,9;48;37;44;176;6,7;1,8;
2024/01/01;1900 UTC;0;953,4;953,5;953,2;848,1;30;21,4;32,5;30;21,4;19;60;44;60;323;4,6;1,1;
2024/01/01;2000 UTC;0;954,2;954,2;953,4;244,7;27,2;21,1;30;26,9;22,2;20,6;75;58;69;277;5,5;1;
2024/01/01;2100 UTC;0;955,2;955,2;954,2;33,5;24,4;21,2;27,4;24,4;21,4;20,6;82;68;82;42;8,9;4,7;
2024/01/01;2200 UTC;,2;956,2;956,2;955,2;;23,7;21,2;24,4;23,5;21,4;20,4;87;80;86;222;8,9;,6;
2024/01/01;2300 UTC;,4;957,2;957,2;956,2;;23,7;21,3;24,3;23,7;22,2;21,3;89;84;87;73;2,9;1,8;
2024/01/02;0000 UTC;,4;957,7;957,8;957,2;;23,3;21,4;23,7;23,3;21,9;21;90;86;89;165;2,7;,5;
2024/01/02;0100 UTC;,2;957,5;957,7;957,4;;22,7;21,2;23,3;22,7;21,5;21,1;91;88;91;279;2,4;,9;
2024/01/02;0200 UTC;0;958;958;957,5;;22,7;21,3;22,9;22,6;21,4;21,1;92;91;92;132;1,9;,3;
2024/01/02;0300 UTC;0;957,7;958,1;957,7;;22,6;21,1;22,8;22,6;21,4;21;92;90;91;321;2,6;0;
2024/01/02;0400 UTC;0;956,9;957,7;956,9;;22,4;21;22,7;22,4;21,2;21;92;91;92;58;1,9;0;
2024/01/02;0500 UTC;0;956,5;956,9;956,5;;22,7;21,1;22,7;22,4;21,2;20,9;92;91;91;312;1,4;0;
2024/01/02;0600 UTC;0;956,1;956,6;956;;22,6;21,2;22,7;22,5;21,3;21,1;92;91;92;234;0;0;
2024/01/02;0700 UTC;0;956,3;956,3;956,1;;22,7;21,3;22,7;22,6;21,3;21,1;92;91;92;137;0;0;
2024/01/02;0800 UTC;0;956,5;956,5;956,2;;22,7;21,4;22,7;22,6;21,4;21,3;93;92;92;214;0;0;
2024/01/02;0900 UTC;1,4;957,1;957,1;956,5;1,3;22,5;21,2;22,9;22,4;21,5;21;92;91;92;236;,7;0;
2024/01/02;1000 UTC;0;957,3;957,3;957,1;125;23;21,4;23;22,4;21,5;21,1;93;90;91;302;2,3;0;
2024/01/02;1100 UTC;,2;957,9;957,9;957,3;309,4;23,6;21,7;23,7;22,9;21,8;21,3;91;88;89;105;1,8;,1;
2024/01/02;1200 UTC;,6;957,9;957,9;957,7;685;24,6;21,8;24,6;23,6;22,3;20,9;90;82;84;182;1,9;0;
2024/01/02;1300 UTC;0;957,9;958;957,9;1476,2;25,7;22,1;25,7;24,6;22,7;21,1;85;78;81;188;7,1;3,2;
2024/01/02;1400 UTC;0;957,4;957,9;957,4;2397,4;26,5;21,5;28;25,6;22,9;21,3;82;71;74;211;8,2;4,3;
2024/01/02;1500 UTC;0;956,7;957,4;956,7;1364,7;26,2;21,7;26,7;25,9;22,5;21,2;81;73;76;327;7,8;2,6;
2024/01/02;1600 UTC;0;956;956,7;956;981,8;25,7;22,2;26,6;25,5;22,3;21,2;81;74;81;16;6,6;1,6;
2024/01/02;1700 UTC;0;955;956;955;825;26,6;22;26,8;25,5;22,6;21,8;83;76;76;282;3,7;1,1;
2024/01/02;1800 UTC;0;954,5;955;954,5;918,8;27,1;22,1;27,2;26,5;22,7;21,7;78;73;74;173;3,8;1,1;
2024/01/02;1900 UTC;,2;954,1;954,6;954,1;376,8;26,2;22,6;27,2;26,1;23,2;21,7;84;73;81;19;3,4;,9;
2024/01/02;2000 UTC;0;954,3;954,3;954,1;571,1;27;21,5;27,1;26,2;23,2;21,5;81;72;72;70;2;0;
2024/01/02;2100 UTC;0;955;955;954,3;155,4;25,8;22,6;27,1;25,8;22,9;21,5;84;72;82;16;2,2;,5;
2024/01/02;2200 UTC;,2;956,4;956,4;955;3,9;23,8;22;25,9;23,8;23,2;21,9;89;82;89;194;7,1;1,2;
2024/01/02;2300 UTC;,2;956,7;956,8;956,2;;23,4;21,9;23,9;23,4;22,4;21,7;91;89;91;177;3;,8;
2024/01/03;0000 UTC;,4;957,3;957,3;956,7;;22,9;21,4;23,5;22,9;21,9;21,1;92;88;91;108;2;0;
2024/01/03;0100 UTC;0;957,4;957,4;957,2;;23,3;21,9;23,3;22,8;21,9;21,3;92;91;92;1;,7;0;
2024/01/03;0200 UTC;0;957,2;957,4;957,2;;23,1;21,8;23,3;23;21,9;21,7;93;91;93;76;,7;0;
2024/01/03;0300 UTC;0;956,7;957,2;956,7;;22,7;21,5;23,1;22,7;21,8;21,4;93;92;93;336;1,4;0;
2024/01/03;0400 UTC;,2;956,3;956,7;956,3;;22,8;21,6;22,8;22,7;21,6;21,4;93;93;93;284;0;0;
2024/01/03;0500 UTC;0;956,1;956,3;956,1;;23;21,8;23;22,7;21,8;21,5;93;93;93;109;1,6;0;
2024/01/03;0600 UTC;0;955,9;956,1;955,9;;22,8;21,6;23;22,8;21,8;21,6;93;92;93;53;0;0;
2024/01/03;0700 UTC;0;956,1;956,1;955,9;;22,7;21,5;22,8;22,7;21,6;21,4;93;93;93;341;0;0;
2024/01/03;0800 UTC;0;956,8;956,8;956,1;;22,8;21,6;22,8;22,7;21,7;21,5;93;93;93;24;0;0;
2024/01/03;0900 UTC;0;957,4;957,4;956,8;64,8;23,1;21,8;23,1;22,7;21,8;21,5;93;93;93;165;0;0;
2024/01/03;1000 UTC;0;958;958;957,4;194,5;23,6;22,2;23,6;23,1;22,3;21,8;93;92;92;45;0;0;
2024/01/03;1100 UTC;0;958,4;958,4;958;506,1;24,5;22,2;24,5;23,6;22,5;22;92;87;87;61;1,5;0;
2024/01/03;1200 UTC;0;958,6;958,7;958,4;1355,2;25,8;21,3;25,9;24,5;22,5;20,9;88;75;76;109;4,5;2,4;
2024/01/03;1300 UTC;0;958,7;958,7;958,6;2579,5;27,4;20,8;28,6;25,7;22,6;20,1;79;62;67;342;5,9;3,1;
2024/01/03;1400 UTC;0;958,1;958,7;958,1;2804;29,8;20,8;29,8;27,4;21,9;20,3;69;59;59;230;5,8;2,9;
2024/01/03;1500 UTC;0;957,3;958,1;957,3;2527,2;28,8;20,1;30,6;28,8;21,6;20,1;61;56;59;167;6,8;3,1;
2024/01/03;1600 UTC;0;956,9;957,3;956,8;625,1;25,9;20,4;29,1;25,9;21;20,1;71;59;71;71;9;5,3;
2024/01/03;1700 UTC;0;956,2;956,9;956,2;531,6;26,8;21,2;26,8;25,4;21,5;20,4;76;72;72;290;9;1;
2024/01/03;1800 UTC;0;955,4;956,2;955,3;1149,1;28,3;21,5;28,3;26,8;21,9;20,7;73;63;67;312;2,9;,7;
2024/01/03;1900 UTC;0;955,5;955,5;955,4;1513,9;27,9;21,6;30;27,9;22,3;20,8;71;60;69;127;3,5;,8;
2024/01/03;2000 UTC;0;955;955,5;955;635,7;28;22,9;28,6;27,7;23,1;21,3;74;65;74;317;2,1;,5;
2024/01/03;2100 UTC;,6;955,7;955,7;955;210;25,5;23,4;28;25,5;23,6;22,4;88;74;88;70;2,1;,2;
2024/01/03;2200 UTC;,2;956,4;956,5;955,7;10,1;24,9;23;25,4;24,9;23,4;23;91;87;89;310;1,7;1;
2024/01/03;2300 UTC;0;956,9;956,9;956,4;;24,2;22,7;24,9;24,2;23,1;22,6;91;89;91;252;1,7;0;
2024/01/04;0000 UTC;0;957,3;957,3;956,9;;24,1;22,6;24,2;24,1;22,7;22,5;92;91;92;58;1,3;0;
2024/01/04;0100 UTC;0;957,4;957,4;957,3;;23,8;22,4;24,1;23,8;22,7;22,4;92;92;92;132;0;0;
2024/01/04;0200 UTC;0;957,2;957,5;957,2;;23,9;22,6;23,9;23,7;22,6;22,4;93;92;93;257;0;0;
2024/01/04;0300 UTC;0;956,6;957,2;956,6;;23,6;22,3;23,9;23,6;22,6;22,3;93;92;93;295;0;0;
2024/01/04;0400 UTC;0;955,9;956,6;955,9;;23,7;22,5;23,7;23,6;22,5;22,4;93;93;93;239;0;0;
2024/01/04;0500 UTC;0;955,5;955,9;955,4;;23,6;22,4;23,7;23,6;22,5;22,3;93;93;93;308;0;0;
2024/01/04;0600 UTC;3;955,7;956;955,5;;23,3;22;23,7;23,3;22,5;21,9;93;92;92;285;5,4;,2;
2024/01/04;0700 UTC;1,6;955,6;955,7;955,4;;22,7;21,4;23,3;22,7;22;21,4;93;92;93;88;3,1;,1;
2024/01/04;0800 UTC;,4;956,2;956,2;955,6;;22,4;21,2;22,7;22,4;21,5;21,2;93;93;93;245;1,4;0;
2024/01/04;0900 UTC;0;956,7;956,7;956,2;38,3;22,5;21,3;22,5;22,1;21,3;20,8;93;92;93;333;1;0;
2024/01/04;1000 UTC;0;957,1;957,1;956,7;386,7;23,8;21,6;23,8;22,5;21,9;21,2;93;86;88;89;,7;0;
2024/01/04;1100 UTC;0;957,6;957,6;957,1;791,9;25,2;22,1;25,3;23,8;22,6;21,7;89;82;83;269;1,5;0;
2024/01/04;1200 UTC;0;957,7;957,8;957,6;1403,8;27;22;27;25,2;22,8;21,9;84;74;74;335;2,1;,1;
