REGIAO:;SE
UF:;MG
ESTACAO:;CARATINGA
CODIGO (WMO):;A554
LATITUDE:;-19,73583333
LONGITUDE:;-42,13722221
ALTITUDE:;609,25
DATA DE FUNDACAO:;24/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;945,7;945,7;945,3;514,5;25;19,6;25,4;25;20,1;19,6;73;71;72;179;5,7;2,8;
2024/01/01;0100 UTC;0;945,9;946;945,7;513,6;24,6;19,4;25;24,6;19,7;19,3;73;72;73;97;5,7;2,6;
2024/01/01;0200 UTC;0;946;946,2;945,9;545,9;24,2;19,1;24,6;24,1;19,4;19,1;74;72;73;190;6,7;2,5;
2024/01/01;0300 UTC;0;945,6;946,1;945,5;533,9;23,1;19;24,3;23;19,2;18,9;78;73;78;120;5,2;1;
2024/01/01;0400 UTC;0;945,4;945,7;945,4;500,8;23,3;19;23,4;22,8;19,4;18,9;80;76;76;176;4,3;2,2;
2024/01/01;0500 UTC;0;945;945,4;945;534,3;23,2;19;23,4;23,1;19,1;18,9;78;76;77;136;4,3;,9;
2024/01/01;0600 UTC;0;944,9;945,1;944,9;532,3;23,2;19,1;23,4;23,1;19,4;18,8;80;76;78;42;2,2;,4;
2024/01/01;0700 UTC;0;944,8;945;944,6;532,4;22,9;19,1;23,2;22,8;19,4;19;81;78;79;78;1,8;,5;
2024/01/01;0800 UTC;0;944,8;944,9;944,7;529,7;22,7;19,4;23;22,6;19,5;18,9;82;78;82;346;2,3;,1;
2024/01/01;0900 UTC;0;945,7;945,7;944,8;488,8;22,9;18,3;23,2;22,7;19,4;18,2;82;74;76;127;4,9;1,3;
2024/01/01;1000 UTC;2,2;946,1;946,1;945,7;1116,5;21,9;19,7;22,9;21,8;19,7;18,3;87;75;87;234;3,9;,6;
2024/01/01;1100 UTC;6,2;946,4;946,4;946,1;3118,8;21,2;19,8;21,9;21;19,8;19,3;92;87;92;312;1,9;,6;
2024/01/01;1200 UTC;,6;946,6;946,6;946,4;1870,7;22;20,4;22,1;21,2;20,5;19,8;92;91;91;286;2,1;,4;
2024/01/01;1300 UTC;,4;946,6;946,6;946,5;1205,7;22,8;20,2;22,9;21,9;20,6;20,2;91;85;85;249;2,2;,4;
2024/01/01;1400 UTC;1,2;946,5;946,6;946,5;365,3;22,9;20,5;22,9;22,5;20,8;20;89;84;86;47;2,6;,5;
2024/01/01;1500 UTC;0;946,1;946,5;946,1;572;23,3;20,3;23,4;22,8;21;20,2;88;83;83;198;2,6;0;
2024/01/01;1600 UTC;,2;945,5;946;945,5;361,7;23,4;21,1;23,6;23,1;21,3;20,2;89;82;87;118;1,6;,8;
2024/01/01;1700 UTC;,4;944,6;945,5;944,6;531,6;24,2;21;24,2;23,2;21,5;20,7;88;81;82;157;1,6;,3;
2024/01/01;1800 UTC;,4;944,1;944,6;944,1;628;24,1;21,5;24,3;23,9;21,5;20,5;85;80;85;226;1,3;,4;
2024/01/01;1900 UTC;,4;944;944,1;943,9;753,2;24,5;21,4;24,8;24,1;21,9;20,9;86;80;83;87;3;1,4;
2024/01/01;2000 UTC;0;944,2;944,2;944;520,3;24,1;20,7;24,4;24,1;21,5;20,6;85;81;81;176;4,9;2,2;
2024/01/01;2100 UTC;0;944,5;944,5;944,2;883,9;23,7;20,8;24,1;23,6;21,1;20,6;85;81;84;63;4,9;1;
2024/01/01;2200 UTC;0;944,7;944,7;944,5;1243,5;23;20,7;23,7;23;21;20,4;87;82;87;38;2,9;,3;
2024/01/01;2300 UTC;0;945,2;945,3;944,7;1546,2;23,4;20;23,9;23;20,8;20;87;80;81;104;2,7;,3;
2024/01/02;0000 UTC;0;945,5;945,6;945,2;1631;23,3;20,2;23,8;23;20,4;20,1;84;80;83;316;3,4;1,7;
2024/01/02;0100 UTC;0;945,9;946;945,5;1673,4;22,8;20,1;23,5;22,8;20,2;19,8;84;80;84;235;3;,1;
2024/01/02;0200 UTC;0;945,6;946;945,6;1703,3;22,6;20,4;23;22,4;20,6;20;88;84;88;23;2;0;
2024/01/02;0300 UTC;0;945;945,6;945;1740;22,4;20,8;22,6;22,4;20,8;20,4;90;88;90;320;2;,9;
2024/01/02;0400 UTC;,2;944,8;945;944,8;1782,7;22,6;20,6;22,9;22,4;20,9;20,4;90;87;89;29;2,6;,9;
2024/01/02;0500 UTC;,4;944,5;944,8;944,5;;22,2;20,9;23,1;22,1;20,9;20,3;92;85;92;352;2,2;,1;
2024/01/02;0600 UTC;,2;944,3;944,5;944,3;;22,3;21,2;22,3;22,2;21,2;20,9;93;92;93;253;,6;0;
2024/01/02;0700 UTC;,2;944,3;944,3;944,2;;22,2;21,2;22,3;22,1;21,2;21;94;93;94;0;0;0;
2024/01/02;0800 UTC;,4;944,5;944,5;944,3;;22,2;21,2;22,3;22,2;21,3;21,2;94;94;94;303;0;0;
