REGIAO:;SE
UF:;MG
ESTACAO:;MANHUACU
CODIGO (WMO):;A556
LATITUDE:;-20,26333333
LONGITUDE:;-42,18277777
ALTITUDE:;819,47
DATA DE FUNDACAO:;25/09/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;923,1;923,1;922,4;;19,4;17;19,7;19,4;17,3;16,9;86;85;86;225;4,6;1,9;
2024/01/01;0100 UTC;;923,5;923,5;923;;19,3;17;19,5;19,1;17,1;16,9;88;86;87;112;5,5;2,2;
2024/01/01;0200 UTC;;923,5;923,7;923,4;;18,9;16,8;19,3;18,9;17;16,8;88;86;87;81;5;2,4;
2024/01/01;0300 UTC;;923,3;923,6;923,2;;18,9;16,7;19;18,8;16,8;16,6;88;87;87;51;4;1,2;
2024/01/01;0400 UTC;;922,4;923,3;922,4;;18,1;16,3;18,9;18,1;16,7;16,3;89;87;89;256;6,3;2;
2024/01/01;0500 UTC;;922,2;922,4;922,2;;18,1;16,2;18,1;17,7;16,3;16,1;90;89;89;251;6;2,7;
2024/01/01;0600 UTC;;922,2;922,3;922,1;;18;15,9;18,5;18;16,4;15,9;89;87;88;160;5,2;1,6;
2024/01/01;0700 UTC;;921,8;922,2;921,8;;18;15,5;18,2;17,9;16;15,5;89;85;85;35;5;2;
2024/01/01;0800 UTC;;921,9;921,9;921,7;;17,8;15,4;18;17,7;15,5;15,4;86;85;86;255;4,7;1,7;
2024/01/01;0900 UTC;;922,5;922,5;921,9;11,5;17,8;15,7;18;17,7;15,7;15,4;87;86;87;357;4,3;1,9;
