REGIAO:;SE
UF:;MG
ESTACAO:;CORONEL PACHECO
CODIGO (WMO):;A557
LATITUDE:;-21,54666666
LONGITUDE:;-43,26111111
ALTITUDE:;411,14
DATA DE FUNDACAO:;17/10/12
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;967,7;967,7;967,3;;22,8;21,4;23,1;22,8;21,7;21,2;92;90;92;288;1,5;,8;
2024/01/01;0100 UTC;0;968,3;968,3;967,6;;22,6;20,3;22,9;22,5;21,5;20,1;92;86;87;240;3,5;1,2;
2024/01/01;0200 UTC;0;968;968,4;968;;22,2;20;22,6;22,2;20,3;19,6;87;86;87;220;4,2;1,2;
2024/01/01;0300 UTC;0;967,6;968,1;967,6;;22,6;20,9;22,6;22,2;20,9;19,6;91;85;91;110;2,1;,5;
2024/01/01;0400 UTC;0;967,1;967,6;967,1;;22,2;20,8;22,6;22,2;21;20,7;92;90;92;293;1,2;,5;
2024/01/01;0500 UTC;0;966,8;967,1;966,7;;21,9;20,6;22,2;21,9;20,9;20,6;92;91;92;38;1,5;,7;
2024/01/01;0600 UTC;0;966,5;966,8;966,5;;21,9;20,5;22,1;21,8;20,7;20,4;92;91;92;17;1,5;,9;
2024/01/01;0700 UTC;0;966,2;966,5;966,2;;22,1;20,9;22,1;21,8;20,9;20,3;92;91;92;234;1,9;1;
2024/01/01;0800 UTC;0;966,7;966,7;966,2;;22,1;20,8;22,2;21,6;21;20,2;93;92;92;115;2,2;,4;
2024/01/01;0900 UTC;1;967,2;967,3;966,7;19,4;21,9;20,7;22,1;21,8;20,9;20,6;93;92;93;31;1,5;,5;
