REGIAO:;SE
UF:;MG
ESTACAO:;SAO SEBASTIAO DO PARAISO
CODIGO (WMO):;A561
LATITUDE:;-20,91
LONGITUDE:;-47,11416666
ALTITUDE:;845
DATA DE FUNDACAO:;17/08/15
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;918,2;918,2;918;;20,9;20,3;21,3;20,9;20,7;20,3;97;95;97;9;1,7;1;
2024/01/01;0100 UTC;0;919;919;918,2;;21;20,3;21,4;20,9;20,4;20,2;97;93;96;261;2,5;,8;
2024/01/01;0200 UTC;0;919,7;919,7;919;;20,9;20,4;21,1;20,7;20,4;20,2;97;95;97;292;2,5;1,3;
2024/01/01;0300 UTC;0;919,3;919,7;919,3;;21;20,4;21,1;20,9;20,5;20,4;97;96;96;244;2,5;1,1;
2024/01/01;0400 UTC;0;918,2;919,3;918,2;;20,8;20,2;21;20,8;20,4;20,2;96;96;96;119;3,1;1,6;
2024/01/01;0500 UTC;0;918,5;918,6;918,1;;20,6;20;20,8;20,5;20,2;19,9;97;96;96;117;3,1;,8;
2024/01/01;0600 UTC;0;918;918,5;918;;20,6;20;20,7;20,6;20,1;20;96;96;96;40;2,3;,6;
2024/01/01;0700 UTC;0;917,5;918;917,5;;20,6;20,1;20,7;20,5;20,2;20;97;96;97;53;1,7;,9;
2024/01/01;0800 UTC;0;917,8;917,8;917,4;;20,7;20,1;20,7;20,5;20,1;20;97;96;96;117;2,1;1;
2024/01/01;0900 UTC;0;918,1;918,1;917,8;20,6;20,8;20,2;20,9;20,7;20,2;20;96;95;96;278;2,8;,8;
2024/01/01;1000 UTC;0;918,5;918,5;918;326,6;21,7;20,2;21,8;20,8;20,6;20,2;97;91;91;70;3,9;1,6;
2024/01/01;1100 UTC;0;918,6;918,6;918,3;481,5;22,5;19,8;22,6;21,5;20,7;19,5;93;83;84;97;4,1;1,1;
2024/01/01;1200 UTC;0;919,3;919,3;918,6;839,1;22,7;19,4;23,2;22,3;20,2;19,1;86;80;82;143;4,7;1,6;
2024/01/01;1300 UTC;0;919,7;919,7;919,3;1005,5;23,8;19,5;23,9;22,6;20,4;19;83;75;77;235;4,8;1,7;
2024/01/01;1400 UTC;0;919,6;919,8;919,6;756,9;23,8;19,5;23,9;23;20,2;18,9;81;74;77;177;4,4;,9;
2024/01/01;1500 UTC;0;919;919,6;919;981;24,3;19,3;24,3;23,4;19,9;18,8;79;73;74;350;3,8;1,5;
2024/01/01;1600 UTC;0;918,3;919;918,3;1102,6;24,5;20;24,9;24,1;20;18,8;77;72;76;77;3,8;1,1;
2024/01/01;1700 UTC;0;917,6;918,4;917,6;1123,6;25;20;25;23,9;20,4;19;79;71;74;217;3,2;1,5;
2024/01/01;1800 UTC;0;916,8;917,6;916,8;1754,1;25,3;18,7;26;24,7;20,5;18,6;75;65;67;348;3;1;
2024/01/01;1900 UTC;0;916,4;916,7;916,4;1513,7;25,8;19,1;26,4;25,3;20,2;18,4;71;62;66;71;3;;
2024/01/01;2000 UTC;0;916,4;916,5;916,3;772,8;23,1;18,5;25,8;23,1;19,8;18,3;77;63;75;176;5,8;1,7;
2024/01/01;2100 UTC;0;916,6;916,6;916,4;221,7;21,1;20,1;23,1;20,7;20,4;17,8;96;74;94;349;6,1;,5;
2024/01/01;2200 UTC;0;916,7;916,8;916,6;104,4;21,4;20,6;21,5;21;20,7;19,9;96;91;95;29;2,8;,8;
2024/01/01;2300 UTC;0;916,9;916,9;916,6;;20,6;19,8;21,4;20,6;20,6;19,8;96;95;95;39;3;,9;
2024/01/02;0000 UTC;0;917,8;917,8;916,8;;20,7;20,2;20,7;20,5;20,2;19,8;97;95;97;149;2,8;,5;
2024/01/02;0100 UTC;0;918,5;918,6;917,8;;20,6;20,1;20,8;20,6;20,3;20,1;97;96;97;55;2,7;1,3;
2024/01/02;0200 UTC;0;918,8;918,8;918,6;;20,7;20,1;20,7;20,4;20,2;19,9;97;96;96;105;2,7;1,1;
2024/01/02;0300 UTC;0;918,2;918,8;918,2;;20,7;19,8;20,7;20,4;20,1;19,8;97;94;94;126;3,5;1,4;
