REGIAO:;SE
UF:;MG
ESTACAO:;DIVINOPOLIS
CODIGO (WMO):;A564
LATITUDE:;-20,17333332
LONGITUDE:;-44,87499999
ALTITUDE:;796
DATA DE FUNDACAO:;26/10/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;8,8;925;925,3;924,6;;21,2;21,1;21,4;20,9;21,4;20,9;100;100;100;30;6;4,5;
2024/01/01;0100 UTC;3,2;926,3;926,3;925;;20,7;20,7;21,2;20,6;21,1;20,6;100;100;100;76;6,3;1,6;
2024/01/01;0200 UTC;4;926,6;926,9;926,3;;20,3;20,3;20,7;20,3;20,7;20,3;100;100;100;208;3,7;2,7;
2024/01/01;0300 UTC;5,2;926,4;926,6;926,4;;20,1;20,1;20,4;20;20,4;20;100;100;100;138;4,6;3,2;
2024/01/01;0400 UTC;2,6;925,4;926,4;925,4;;19,9;19,9;20,1;19,9;20,1;19,9;100;100;100;151;6,5;4,1;
2024/01/01;0500 UTC;,6;924,8;925,4;924,8;;20;19,9;20;19,9;20;19,8;100;100;100;41;5,5;2,3;
2024/01/01;0600 UTC;,2;924,4;924,8;924,4;;19,7;19,7;20;19,6;19,9;19,6;100;100;100;24;6;2,5;
2024/01/01;0700 UTC;0;924,4;924,4;924,3;;19,5;19,5;19,7;19,5;19,7;19,5;100;100;100;13;3,9;2,4;
2024/01/01;0800 UTC;0;924,9;924,9;924,4;;19,3;19,3;19,5;19,3;19,5;19,2;100;100;100;183;3,8;1,6;
2024/01/01;0900 UTC;0;925,3;925,3;924,9;9,9;19,5;19,5;19,5;19,2;19,5;19,2;100;100;100;259;3;2;
2024/01/01;1000 UTC;0;925,5;925,5;925,3;166,8;20,1;20,1;20,1;19,5;20,1;19,4;100;100;100;73;3,4;1,8;
2024/01/01;1100 UTC;0;925,8;925,8;925,5;596,7;20,9;20,9;20,9;20,1;20,9;20,1;100;100;100;275;3,5;2,2;
2024/01/01;1200 UTC;0;926,3;926,3;925,8;599,6;20,9;20,9;21,3;20,8;21,2;20,8;100;100;100;267;3,3;2,4;
2024/01/01;1300 UTC;,2;926,3;926,4;926,2;848;21,8;21,8;21,9;20,9;21,9;20,9;100;100;100;303;3,6;2,2;
2024/01/01;1400 UTC;0;926;926,3;926;821,6;22,5;21,2;22,5;21,8;22,2;20,6;100;90;93;349;3,4;1,6;
2024/01/01;1500 UTC;0;925,4;926;925,4;914,6;23,1;21;23,2;22,4;22,3;20,8;97;87;88;252;3,7;1,7;
2024/01/01;1600 UTC;,8;924,8;925,4;924,8;730,5;23;23;23,5;22,7;23,1;21,1;100;87;100;284;3,4;,9;
2024/01/01;1700 UTC;3,8;923,8;924,8;923,8;1119,3;23,5;22,1;23,5;22,3;23,2;22,1;100;91;92;278;3,7;2,2;
2024/01/01;1800 UTC;0;923,3;923,8;923,3;2076,9;24,5;21,6;25;23,5;23,5;21,1;99;80;84;72;5,3;3;
2024/01/01;1900 UTC;0;923,2;923,3;923;930,1;24,1;21,3;24,6;23,9;22;20,7;87;81;84;171;5;1,7;
2024/01/01;2000 UTC;1,8;923,5;923,5;923,2;136,4;22,2;22,2;24,1;22;22,7;21,4;100;84;100;188;5,9;3;
2024/01/01;2100 UTC;2,8;923,8;923,8;923,5;29,7;21,1;21,1;22,2;21,1;22,2;21,1;100;100;100;294;5,6;2,3;
2024/01/01;2200 UTC;6;924,2;924,3;923,8;1,6;20,9;20,9;21,1;20,7;21;20,7;100;100;100;247;5,2;1;
2024/01/01;2300 UTC;1,6;924,3;924,3;924,2;;21;21;21,3;20,9;21,2;20,9;100;100;100;316;4,1;2;
2024/01/02;0000 UTC;,4;924,6;924,6;924,2;;20,9;20,9;21,1;20,8;21,1;20,8;100;100;100;238;5,2;1,1;
2024/01/02;0100 UTC;0;925,4;925,4;924,6;;20,9;20,9;20,9;20,8;20,9;20,8;100;100;100;23;2,9;2,1;
2024/01/02;0200 UTC;0;925,5;925,6;925,4;;20,7;20,7;20,9;20,7;20,9;20,6;100;100;100;172;3;1,1;
2024/01/02;0300 UTC;0;925,2;925,5;925,2;;20,6;20,5;20,7;20,5;20,7;20,5;100;100;100;87;1,9;1,3;
2024/01/02;0400 UTC;0;924,7;925,2;924,7;,8;20,5;20,5;20,6;20,4;20,5;20,4;100;100;100;354;4,1;1,6;
2024/01/02;0500 UTC;0;924,3;924,8;924,3;;20,3;20,2;20,5;20,2;20,5;20,2;100;100;100;301;2,7;,5;
2024/01/02;0600 UTC;0;923,7;924,3;923,7;;20;20;20,3;20;20,3;20;100;100;100;85;2,4;1,1;
2024/01/02;0700 UTC;0;923,9;923,9;923,7;;19,9;19,9;20,1;19,9;20;19,9;100;100;100;61;2,3;1,7;
2024/01/02;0800 UTC;0;924,1;924,1;923,8;;19,7;19,7;19,9;19,7;19,9;19,7;100;100;100;168;2,3;1,3;
2024/01/02;0900 UTC;,6;924,6;924,6;924,1;16,8;19,9;19,9;19,9;19,6;19,9;19,6;100;100;100;231;2,2;,4;
2024/01/02;1000 UTC;0;924,8;924,8;924,5;179,4;20,4;20,4;20,4;19,9;20,4;19,9;100;100;100;246;1,8;,7;
2024/01/02;1100 UTC;,2;925,1;925,1;924,8;640,8;21,7;21;21,7;20,4;21,7;20,4;100;96;96;253;2,9;1,6;
2024/01/02;1200 UTC;0;925,1;925,1;925;947,4;22,6;20,6;22,6;21,7;21,9;20;99;86;88;333;4;2,2;
2024/01/02;1300 UTC;0;924,9;925,1;924,9;1057,4;23,4;20,7;23,4;22,4;22,3;20,5;100;85;85;138;4,1;2,2;
2024/01/02;1400 UTC;0;924,7;925;924,7;1361,5;24;20,2;24,5;23,4;20,9;19,9;85;77;79;136;5,9;1,7;
