REGIAO:;SE
UF:;MG
ESTACAO:;BAMBUI
CODIGO (WMO):;A565
LATITUDE:;-20,0311111
LONGITUDE:;-46,00888888
ALTITUDE:;697
DATA DE FUNDACAO:;23/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;935,8;935,8;934,6;;22,1;21,7;22,5;21,9;21,8;21,5;99;95;98;312;7,2;3,1;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;120;;;
2024/01/01;0200 UTC;2,8;936,5;936,7;936,3;;21,2;21,2;21,4;21,1;21,4;21,1;100;100;100;99;4,9;1,6;
2024/01/01;0300 UTC;,2;935,9;936,6;935,9;;21,3;21,3;21,3;21,2;21,3;21,2;100;100;100;315;3,4;,5;
2024/01/01;0400 UTC;0;935,3;935,9;935,3;;21,2;21,2;21,3;21,1;21,3;21,1;100;100;100;207;1,4;,3;
2024/01/01;0500 UTC;0;935;935,3;935;;21,2;21,2;21,4;21,1;21,4;21,1;100;100;100;49;1,3;,2;
2024/01/01;0600 UTC;,2;934,5;935;934,5;;21,3;21,3;21,5;21,2;21,5;21,2;100;100;100;268;1,8;,9;
2024/01/01;0700 UTC;0;934,6;934,6;934,5;;21,4;21,4;21,4;21,3;21,4;21,3;100;100;100;186;1,8;,5;
2024/01/01;0800 UTC;0;934,7;934,8;934,6;;21,5;21,4;21,5;21,3;21,5;21,3;100;100;100;69;1,1;,4;
2024/01/01;0900 UTC;2;935,1;935,1;934,7;4,7;21,3;21,3;21,5;21,2;21,5;21,2;100;100;100;80;2,4;1,4;
2024/01/01;1000 UTC;,6;935,7;935,7;935,1;166,7;21,6;21,6;21,6;21,2;21,6;21,1;100;100;100;89;3,7;2;
2024/01/01;1100 UTC;0;935,9;935,9;935,7;320,7;22,1;21,6;22,2;21,6;21,8;21,4;100;96;97;77;4,1;1,7;
2024/01/01;1200 UTC;0;936,3;936,3;935,9;525,4;22,8;21,5;22,8;22,1;21,7;21,1;97;92;92;338;4,5;1,2;
2024/01/01;1300 UTC;0;936,3;936,5;936,3;794,9;23,3;21,5;23,3;22,7;22;20,9;94;88;90;58;3,4;2,4;
2024/01/01;1400 UTC;0;936;936,3;936;1164,5;23,4;21,4;24;23,2;22;20,9;91;85;89;356;5,5;2,3;
2024/01/01;1500 UTC;0;935,5;936;935,5;447,2;23,3;22;23,5;23,2;22;21,1;92;86;92;253;4;1,5;
2024/01/01;1600 UTC;0;934,5;935,5;934,5;1278,5;25,2;21,8;25,4;22,7;23,2;21,5;98;81;81;30;3,6;,8;
2024/01/01;1700 UTC;0;933,8;934,5;933,8;1079,9;25,5;22,1;25,7;24,8;22,3;21,4;84;79;81;253;2,7;,5;
2024/01/01;1800 UTC;0;933,4;933,8;933,4;453,9;24,8;22,3;25,5;24,8;22,7;21,5;88;80;86;44;1,8;,5;
2024/01/01;1900 UTC;2,2;933,2;933,4;933,2;94,8;22,7;22,7;24,9;22,7;23;21,8;100;83;100;306;3,2;,4;
2024/01/01;2000 UTC;1,4;933,1;933,2;933;104,8;22,5;22,4;22,8;22,4;22,8;22,4;100;100;100;305;2,3;,6;
2024/01/01;2100 UTC;,6;933,3;933,3;933;209;22,9;22,9;23;22,4;23;22,4;100;100;100;254;1,5;,6;
2024/01/01;2200 UTC;0;933,7;933,7;933,3;30,9;22,3;22,2;22,9;22,3;22,9;22,2;100;99;100;54;7,1;2,8;
2024/01/01;2300 UTC;0;934,1;934,1;933,7;;22;22;22,3;22;22,2;22;100;100;100;152;5,3;2,5;
2024/01/02;0000 UTC;0;934,7;934,7;934,1;,1;22;21,8;22,1;22;22;21,8;100;99;99;257;4,3;1,8;
2024/01/02;0100 UTC;0;935,3;935,3;934,7;,1;21,9;21,8;22;21,9;22;21,7;100;99;99;112;4,7;2,4;
2024/01/02;0200 UTC;0;935,6;935,7;935,3;;21,5;21,3;21,9;21,5;21,7;21,3;99;98;99;20;5,4;1,9;
2024/01/02;0300 UTC;0;935,5;935,7;935,5;;21,3;21,2;21,6;21,3;21,4;21,2;100;99;100;343;4,1;1,6;
2024/01/02;0400 UTC;0;934,8;935,5;934,8;;21,3;21,1;21,3;21,2;21,3;21;100;99;99;260;4,4;1,7;
2024/01/02;0500 UTC;0;934,1;934,8;934,1;;21,1;21;21,3;21;21,2;20,9;100;99;99;23;4;1,3;
2024/01/02;0600 UTC;0;933,9;934,1;933,8;;21;20,9;21,1;20,9;21;20,9;100;99;100;92;2,9;,9;
2024/01/02;0700 UTC;0;933,9;934,1;933,9;;20,9;20,9;21,1;20,9;21,1;20,9;100;100;100;313;2,4;1,2;
2024/01/02;0800 UTC;0;934,2;934,3;933,9;;21;21;21;20,9;21;20,9;100;100;100;342;1,9;,5;
2024/01/02;0900 UTC;0;934,5;934,5;934,2;19,8;20,9;20,9;21;20,8;21;20,8;100;100;100;9;2;1,2;
2024/01/02;1000 UTC;0;935,1;935,1;934,5;256,9;21,6;21,3;21,7;20,9;21,5;20,8;100;98;98;144;2,1;,9;
2024/01/02;1100 UTC;0;935,2;935,3;935,1;318,7;21,9;21,1;21,9;21,6;21,4;20,9;98;95;96;225;2,5;1;
2024/01/02;1200 UTC;0;935,2;935,3;935,1;800,3;22,6;21,3;22,7;21,9;21,6;20,9;97;91;92;133;3,8;2,2;
2024/01/02;1300 UTC;0;935,2;935,3;935,2;905,2;23,1;21;23,2;22,6;21,8;20,8;93;87;88;23;4,6;2,5;
2024/01/02;1400 UTC;0;934,8;935,2;934,8;1128,2;23,9;21,4;23,9;23,1;21,6;20,9;90;85;86;220;4,9;2,5;
2024/01/02;1500 UTC;0;934,1;934,8;934,1;1375,3;25,7;22,5;25,7;23,6;22,5;21;88;82;83;308;4,9;1,7;
2024/01/02;1600 UTC;0;932,9;934,1;932,9;3329,8;26;21,4;27,1;25,5;23,1;21,4;83;73;76;243;5,6;2,2;
2024/01/02;1700 UTC;0;932;932,9;932;2807,8;28,5;21,6;28,6;25,9;22,8;21,1;79;66;66;328;4,4;,9;
2024/01/02;1800 UTC;0;931,2;932;931,2;1727;27,3;21,9;28,8;27,3;22,3;20,6;72;64;72;229;4,7;1;
2024/01/02;1900 UTC;7,4;931,2;931,4;931,1;250,3;23,4;23,2;27,3;23,3;23,4;21,8;100;73;99;87;8,1;1,7;
2024/01/02;2000 UTC;,2;930,8;931,3;930,6;734,2;23,4;22,2;23,7;23;23,4;21,8;100;91;93;221;4,8;1,5;
2024/01/02;2100 UTC;0;931,7;931,7;930,8;177,8;23,8;23,1;23,8;23,3;23,2;22,3;98;93;96;79;2,7;,8;
2024/01/02;2200 UTC;1,2;932,7;932,7;931,7;12,3;22,3;22,3;23,8;22,3;23,5;22,3;100;96;100;227;6,3;1,8;
2024/01/02;2300 UTC;5,6;933,3;933,3;932,7;;21,8;21,8;22,3;21,6;22,3;21,6;100;100;100;281;3,8;,5;
