REGIAO:;SE
UF:;MG
ESTACAO:;BELO HORIZONTE - CERCADINHO
CODIGO (WMO):;F501
LATITUDE:;-19,97999999
LONGITUDE:;-43,95861111
ALTITUDE:;1199,55
DATA DE FUNDACAO:;27/12/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;880,7;881;880,7;,1;18,5;17;19,1;18,5;17,5;17;91;91;91;171;15,7;10,8;
2024/01/01;0100 UTC;0;881,3;881,3;880,6;0;18,4;16,9;18,5;18,4;16,9;16,9;91;91;91;108;15,5;9,8;
2024/01/01;0200 UTC;0;881,6;881,7;881,3;0;18,2;16,7;18,4;18,2;16,9;16,7;91;91;91;359;13,8;10,5;
2024/01/01;0300 UTC;0;881,6;881,8;881,4;0;18,1;16,6;18,2;18,1;16,7;16,6;91;91;91;198;13,3;7,5;
2024/01/01;0400 UTC;,4;881,5;881,7;881,5;0;18,1;16,6;18,1;18;16,6;16,5;91;91;91;66;9,9;4,6;
2024/01/01;0500 UTC;0;881,3;881,5;881,3;0;18,3;16,8;18,3;18;16,8;16,5;91;91;91;253;7,9;3,5;
2024/01/01;0600 UTC;1,6;880,4;881,3;880,4;,1;17,9;16,4;18,3;17,9;16,8;16,4;91;91;91;99;9,4;7,4;
2024/01/01;0700 UTC;1,4;880,1;880,4;880,1;,3;17,2;15,8;17,9;17,2;16,4;15,8;91;91;91;8;14,1;9,9;
2024/01/01;0800 UTC;,4;880,3;880,3;880,1;0;17,1;15,7;17,2;17,1;15,8;15,7;91;91;91;202;14,3;9,1;
2024/01/01;0900 UTC;,2;881;881;880,3;12,6;17,2;15,8;17,2;17,1;15,8;15,6;91;91;91;270;11,9;7,2;
2024/01/01;1000 UTC;,4;881,4;881,5;880,9;121,1;17,5;16,1;17,5;17,2;16,1;15,8;91;91;91;209;10,2;6,1;
2024/01/01;1100 UTC;0;881,6;881,6;881,2;418,6;18,2;16,7;18,2;17,5;16,7;16;91;91;91;218;10,6;7,1;
2024/01/01;1200 UTC;0;882;882;881,6;897,2;18,8;17,3;18,9;18,1;17,4;16,7;91;91;91;198;10,1;7,1;
2024/01/01;1300 UTC;0;882,1;882,1;882;946,2;19,8;18;19,8;18,7;18;17,3;91;89;89;157;9,4;6;
2024/01/01;1400 UTC;0;881,9;882,2;881,9;1285,2;20,5;17,8;20,5;19,4;18,1;17,2;89;85;85;331;9,2;6,9;
2024/01/01;1500 UTC;0;881,4;881,9;881,4;1241;20,2;17,6;21;19,2;18,4;16,8;88;81;85;348;9,2;6,3;
2024/01/01;1600 UTC;0;881,1;881,4;881,1;1480,2;20,2;17,6;20,9;20,2;18,6;17,4;87;83;85;116;9,3;5,5;
2024/01/01;1700 UTC;,4;880,3;881,1;880,3;1065,9;20,1;18,3;20,2;19,2;18,3;17,1;90;85;89;126;8,5;6,5;
2024/01/01;1800 UTC;0;879,8;880,3;879,8;1126,4;19;17,1;20,3;19;18,5;17,1;89;88;89;90;10,8;7,7;
2024/01/01;1900 UTC;,4;879,7;879,8;879,4;412,2;18,5;16,7;19,1;18,5;17,2;16,7;90;89;90;233;11,6;7,6;
2024/01/01;2000 UTC;2,6;880,1;880,2;879,7;174,9;18,2;16,6;18,5;18,2;16,7;16,6;90;90;90;49;10,8;4,7;
2024/01/01;2100 UTC;3,2;880,2;880,2;880;69,9;17,8;16,2;18,2;17,8;16,6;16,2;91;90;91;59;11,6;6,9;
2024/01/01;2200 UTC;,6;880,6;880,7;880,2;13,6;17,6;16,1;17,8;17,6;16,2;16,1;91;91;91;204;10,4;6,5;
2024/01/01;2300 UTC;,2;880,1;880,6;880,1;0;17,5;16;17,6;17,5;16,1;16;91;91;91;259;11,6;9,3;
2024/01/02;0000 UTC;0;880,7;880,8;880,1;0;17,6;16,2;17,6;17,5;16,2;16;91;91;91;335;12;9,5;
2024/01/02;0100 UTC;,2;881;881;880,7;0;17,6;16,2;17,7;17,6;16,3;16,2;91;91;91;135;14;10,2;
